"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","..","TOTAL"
"DOM_N",25.175,1.509,4.984,2.271,14.138,0.061,2.245,3.4,23.433,11.374,0.523,4,0.045,3.935,3.492,1.647,3.819,0.334,0.292,4.502,8.657,13.463,5.595,6.018,0.401,1.302,5.141,1.107,5.917,32.97,92.23,47.539,3.566,11.153,27.935,8.568,51.185,10.774,49.649,15.696,45.927,11.23,31.874,52.656,115.657,36.87,1.099,3.463,1.352,0,392.967,0.675,26.792,7.674,-0.02,0,18.749,124.127,0,1381.135
"DOM_O",9.023,0.383,0.946,0.353,0.66,0.007,0.201,0.367,6.279,3.778,0.229,1.129,0.009,0.847,0.959,0.364,0.585,0.093,0.133,1.442,0.977,3.172,1.105,1.397,0.091,0.265,0.934,0.505,2.16,8.501,22.184,15.887,0.255,0.597,4.3,1.282,10.34,1.041,8.922,1.471,12.779,4.855,6.011,3.75,87.838,8.164,0.244,0.847,0.38,0,123.466,2.153,6817.506,0.023,0,0,0.049,0.204,0,7181.444
"DOM_P",0.344,0.026,0.087,0.007,0.099,0.001,0.023,0.02,0.329,0.119,0.006,0.037,0.002,0.05,0.096,0.017,0.05,0.011,0.012,0.081,0.201,0.359,0.11,0.064,0.01,0.037,0.109,0.026,0.131,0.29,1.203,0.556,0.023,0.164,0.438,0.077,0.526,0.169,1.704,0.631,2.219,0.173,1.25,0.605,11.393,14.92,0.051,0.093,0.048,0,1015.677,108.917,2227.906,0.012,0,0,25.214,0.129,0,3416.848
"DOM_Q",0.011,0.001,0.003,0.001,0.003,0,0.001,0.001,0.012,0.006,0,0.001,0,0.002,0.004,0.001,0.002,0,0,0.002,0.002,0.006,0.006,0.003,0,0,0.002,0.001,0.001,0.009,0.044,0.031,0.002,0.008,0.032,0.003,0.014,0.002,0.01,0.009,0.014,0.002,0.01,0.008,0.06,0.013,0.004,0.001,0.001,0,39.644,6.426,60.959,0.068,0,0,16.867,0.147,0,124.46
"DOM_R",0.017,0.001,0.004,0.001,0.004,0,0.001,0.001,0.033,0.015,0.001,0.003,0,0.003,0.004,0.001,0.002,0,0,0.004,0.006,0.01,0.004,0.004,0,0.001,0.004,0.001,0.004,0.016,0.088,0.023,0.002,0.006,0.014,0.004,0.074,0.019,0.036,0.014,0.045,0.008,0.043,0.04,0.133,0.053,0.001,0.048,0.007,0,33.204,5.858,6.731,0.2,0,0,20.887,38.15,0,105.836
"DOM_S",0.065,0.005,0.032,0.005,0.02,0,0.005,0.005,0.078,0.061,0.003,0.009,0,0.01,0.006,0.004,0.012,0.002,0.001,0.015,0.022,0.025,0.011,0.011,0.001,0.002,0.016,0.003,0.016,0.052,0.26,0.125,0.008,0.027,0.1,0.017,0.217,0.015,0.127,0.049,0.239,0.022,0.086,0.07,0.281,0.111,0.006,0.01,0.033,0,70.546,26.367,2.091,0.377,0,0,21.803,0.977,0,124.457
"DOM_T",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156.346,0,0,0,0,0,0,0,0,156.346
"IMP_A01",311.889,1.749,4.342,0.016,0.04,0,0.025,0.012,346.124,29.605,0.16,0.217,0.004,0.941,0.625,0.381,0.115,0.014,0.009,0.102,0.072,0.178,0.113,0.239,0.011,0.022,0.477,0.04,0.076,1.083,8.249,0.474,0.024,0.032,0.216,0.031,82.763,0.033,0.05,0.017,0.076,0.09,0.49,0.766,3.758,1.448,0.178,0.158,0.101,0,694.689,0.097,10.08,14.886,0.12,3.794,0,0,0,1521.303
"IMP_A02",1.148,0.317,0.023,0.003,0.003,0,0.001,0.001,1.178,0.094,0.198,0.04,0,0.014,0.004,0.01,0.011,0.001,0,0.007,0.005,0.015,0.006,0.009,0.001,0.001,0.074,0.003,0.002,0.227,0.077,0.026,0.001,0.003,0.01,0.001,0.313,0.002,0.003,0.001,0.003,0.01,0.009,0.009,0.041,0.014,0.001,0.002,0.002,0,3.143,0.001,0.044,0.082,0.002,0.049,0,0,0,7.246
"IMP_A03",0.131,0.009,5.174,0.002,0.011,0,0.003,0.001,7.063,0.021,0.001,0.004,0,0.007,0.002,0.002,0.006,0.001,0.001,0.005,0.004,0.01,0.003,0.003,0,0.001,0.003,0.001,0.001,0.012,0.199,0.062,0.071,0.001,0.098,0.006,3.705,0.002,0.003,0.002,0.006,0.002,0.007,0.009,0.159,0.023,0.002,0.002,0.001,0,11.378,0.003,0.048,0.015,0.001,0.213,0,0,0,28.503
