"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","..","TOTAL"
"IMP_C20",3586.994,19.067,11.644,1.109,1.193,1.672,59.192,3.321,1358.983,663.283,244.216,719.505,1024.576,10182.999,993.054,3693.432,590.305,153.004,89.89,463.885,205.914,324.784,237.969,706.778,92.989,353.082,731.697,466.201,353.759,1957.593,715.826,182.654,48.944,37.72,95.458,6.795,375.462,193.797,20.002,113.815,81.863,258.671,926.114,1001.616,206.641,139.807,1464.335,103.311,457.536,0,14482.35,0.057,1226.576,151.081,65.185,94.233,0,0,0,51741.939
"IMP_C21",489.097,1.621,3.3,0.127,0.183,0.213,4.768,0.296,283.69,45.792,15.452,43.79,58.541,675.353,2105.518,211.648,35.56,11.781,6.401,32.609,19.947,22.602,28.658,50.592,6.366,37.474,75.037,53.795,45.898,160.476,160.606,22.405,7.684,4.614,12.688,2.051,41.481,22.701,9.795,28.166,28.593,26.616,615.179,112.375,294.655,60.19,7184.963,50.225,77.053,0,7334.524,0.031,13608.158,271.466,36.191,58.515,0,0,0,34597.511
"IMP_C22",308.167,9.752,7.711,0.465,0.562,0.355,12.823,0.855,2000.673,228.714,70.515,259.458,58.994,594.717,202.702,1589.758,139.231,29.633,25.264,332.402,189.139,382.721,391.553,1571.101,40.398,697.03,568.394,127.055,143.804,3102.991,1735.44,370.783,21.56,7.932,77.248,9.856,174.562,65.538,30.272,42.634,85.062,164.172,376.375,534.784,96.074,58.858,236.998,53.536,108.787,0,3775.323,0.014,41.844,200.812,59.607,12.041,0,0,0,21427.05
"IMP_C23",67.092,1.799,0.64,0.066,0.155,0.186,8.107,0.276,240.541,12.399,17.982,9.49,19.228,105.744,28.402,66.005,722.674,53.734,11.344,65.963,50.052,52.564,38.382,135.384,12.131,51.81,75.373,80.19,25.208,5897.832,130.007,22.019,8.336,2.821,11.82,1.115,65.684,4.897,9.27,11.023,16.01,202.517,105.118,66.841,27.485,23.203,46.744,12.346,26.576,0,1040.991,0.008,16.673,96.969,24.853,8.843,0,0,0,9832.919
"IMP_C24A",21.48,1.667,0.672,0.302,1.011,0.307,3.046,0.657,33.377,5.059,12.911,7.588,27.295,26.564,3.006,63.266,94.316,2529.41,79.148,3508.422,77.632,301.716,1198.505,1312.091,175.09,1397.59,452.333,168.749,169.756,3458.529,141.3,29.622,10.066,4.455,19.261,0.651,5.133,1.319,1.498,2.253,5.152,39.731,131.606,34.35,14.68,6.169,7.348,7.383,15.012,0,40.608,0,32.487,36.869,8.324,2.216,0,0,0,15728.989
"IMP_C24B",13.101,1.275,0.101,0.037,0.24,0.137,1.666,0.11,142.283,9.357,13.665,20.135,12.911,222.563,16.3,68.049,56.415,567.153,2299.312,2347.204,297.75,1134.753,698.53,1019.022,67.167,999.023,715.679,112.485,227.088,1198.95,177.553,10.961,4.342,0.522,7.454,0.146,17.016,4.136,1.481,2.504,6.387,28.244,60.219,14.037,11.701,2.129,15.871,7.242,22.897,0,287.901,0,6.662,144.571,40.329,2.251,0,0,0,13139.02
"IMP_C25",141.836,10.905,3.09,0.804,1.173,0.591,13.465,2.517,666.092,45.391,79.108,41.114,50.393,190.545,33.637,147.942,111.434,222.069,57.426,2253.511,139.825,348.712,1198.142,1398.75,202.914,1167.562,912.028,307.528,81.906,5401.618,558.138,66.788,16.541,6.247,43.966,2.408,106.84,17.718,33.621,37.213,29.278,180.899,360.227,342.202,245.198,37.323,89.045,35.47,82.806,0,1948.54,0.017,35.117,2290.749,602.929,15.34,0,0,0,22416.644
"IMP_C26",39.011,3.047,1.817,0.125,0.329,0.135,3.61,0.531,75.201,12.243,6.198,24.214,32.799,86.742,20.624,33.3,24.086,18.555,12.012,139.365,3768.234,770.847,550.235,616.801,106.818,543.196,881.304,513.011,52.693,963.165,892.111,53.823,23.121,20.584,64.34,14.288,88.402,186.264,1083.658,1235.267,252.068,58.785,1129.459,625.932,277.302,142.475,605.225,101.135,300.425,0,9336.756,0.023,238.165,9122.611,2315.253,77.509,0,0,0,37545.226
"IMP_C27",60.019,2.814,2.907,0.252,0.281,0.313,10.324,1.172,112.889,11.69,8.524,30.929,18.588,65.72,15.678,48.598,36.905,35.183,21.966,212.944,497.53,2232.165,703.963,1382.418,68.877,765.738,1342.668,1984.988,68.375,3714.743,764.581,107.53,30.814,11.388,44.808,4.462,107.123,53.23,319.835,203.746,52.832,88.318,631.388,461.081,204.934,51.325,175.159,95.574,162.372,0,8968.114,0.014,30.264,3174.174,854.266,37.764,0,0,0,30094.258
"IMP_C28",190.158,32.274,9.817,2.29,3.251,1.737,45.067,6.577,389.498,40.639,41.244,83.51,153.316,176.446,36.118,110.341,214.779,125.738,38.121,487.142,184.592,438.446,3204.173,1473.315,230.646,1089.678,2616.583,1263.414,171.499,2912.19,896.467,145.858,23.957,20.182,80.946,8.48,66.495,46.434,88.117,129.751,158.104,56.2,612.103,758.513,222.346,58.681,206.936,71.239,92.468,0,1891.705,0.029,62.766,16986.003,4546.538,17.486,0,0,0,43020.404
"IMP_C29",35.958,14.406,1.776,0.118,0.26,0.224,5.881,0.608,86.902,11.871,7.162,11.846,16.505,37.03,9.734,41.031,33.919,20.338,12.129,90.726,55.616,115.64,225.954,10438.241,20.409,453.609,378.103,174.513,46.283,494.715,2648.185,541.472,35.475,23.608,70.542,6.248,26.241,17.138,31.659,53.433,54.061,29.185,221.51,356.427,76.852,24.237,63.582,27.802,29.923,0,24357.915,0.006,76.481,13996.903,3826.798,60.39,0,0,0,59497.582
"IMP_C301",0.389,0.043,1.512,0.001,0.013,0.003,0.079,0.003,0.775,0.062,0.066,0.081,0.167,0.231,0.051,0.141,0.144,0.176,0.057,1.276,0.572,0.518,3.065,6.566,428.405,227.053,53.505,1.514,0.262,3.358,4.242,5.702,114.618,11.977,6.464,0.06,0.249,0.074,0.174,0.223,0.411,0.185,1.655,4.33,40.856,0.234,0.356,0.639,1.802,0,193.943,0,0.171,1325.559,363.412,0.2,0,0,0,2807.622
"IMP_C302T309",2.732,2.509,6.453,0.039,0.02,0.025,0.326,0.074,11.437,0.603,0.679,0.623,0.963,3.139,0.529,2.012,1.582,1.962,1.641,20.426,5.736,11.75,26.675,430.315,183.286,15169.004,780.501,9.92,2.413,41.549,188.389,345.297,72.078,273.864,31.352,0.961,2.367,0.63,1.228,4.019,5.342,2.637,24.246,129.159,313.477,3.316,25.428,4.15,31.945,0,1889.955,0.001,5.193,8087.52,2215.896,1.244,0,0,0,30378.618
"IMP_C31T33",194.237,14.893,11.286,0.35,0.92,0.398,17.978,1.7,276.74,93.091,38.638,58.156,67.266,149.871,53.648,63.938,69.33,63.574,21.508,136.092,121.1,95.861,164.228,225.39,41.035,412.221,1287.359,700.277,129.579,1168.319,619.921,206.329,61.279,79.694,103.82,15.054,262.105,61.271,102.602,149.082,314.103,127.416,765.398,718.956,353.011,310.374,1492.119,297.345,206.838,0,15694.293,0.02,1593.532,4778.024,830.422,291.663,0,0,0,35113.655
"IMP_D",221.2,6.186,5.55,0.665,1.357,0.724,27.021,0.828,479.725,57.366,28.267,114.56,222.978,302.894,36.573,93.718,163.494,150.09,50.611,130.52,35.952,48.827,61.724,125.506,11.891,111.588,133.722,5051.356,170.82,226.757,795.847,183.72,6.671,4.084,80.028,12.026,524.702,55.745,117.575,91.493,207.785,258.027,322.826,210.093,290.723,192.167,401.068,144.311,131.239,0,2665.249,0.006,28.07,98.674,8.168,19.464,0,0,0,14922.23
"IMP_E",19.528,0.218,0.276,0.013,0.027,0.015,0.58,0.036,38.472,3.101,1.32,3.74,7.442,25.815,3.058,9.555,5.63,5.296,1.154,8.204,1.998,3.592,4.861,7.957,0.876,8.25,7.439,60.648,3.815,37.956,24.975,4.808,0.901,0.673,3.309,0.421,26.843,2.593,3.421,6.344,9.113,8.256,20.379,18.84,9.246,4.586,12.259,3.963,3.946,0,198.206,0.069,4.118,23.702,3.05,6.668,0,0,0,671.567
"IMP_F",19.767,1.042,0.528,0.05,0.167,0.043,2.57,0.443,55.157,6.439,5.573,6.781,10.65,21.154,6.29,19.983,19.55,7.518,2.272,25.435,7.483,13.621,21.638,39.03,3.119,27.255,40.627,50.688,7.357,211.872,74.243,20.134,5.519,4.765,11.272,1.377,16.784,6.671,9.279,20.259,20.473,16.539,66.443,41.715,19.963,6.22,23.265,6.549,7.019,0,222.775,0.028,20.55,213.422,16.87,118.578,0,0,0,1604.814
"IMP_G",2118.277,55.735,58.73,1.632,2.398,1.815,61.287,5.635,4208.049,897.338,243.291,666.799,1460.361,2986.655,977.826,1173.275,530.141,592.057,202.637,1289.144,1051.39,841.699,1361.242,3018.952,223.708,3300.538,1985.904,2406.341,365.421,5812.213,3685.829,1645.907,435.502,395.661,380.932,57.163,1824.774,442.314,427.041,629.087,548.113,351.08,1895.277,1778.111,894.416,357.657,3600.458,359.888,493.92,0,35884.887,4.707,5019.088,9940.004,2597.494,1642.513,0,0,0,113192.315
"IMP_H49",360.42,55.184,8.979,1.497,1.946,0.934,62.637,3.607,1094.296,91.637,99.172,149.506,358.669,408.393,91.647,151.017,264.068,170.531,52.648,286.727,123.532,150.539,214.411,401.849,31.549,567.633,393.354,813.53,159.773,1319.015,3273.5,1391.912,100.525,58.468,673.563,163.043,295.516,153.161,84.924,121.221,289.446,101.604,667.353,648.995,353.787,182.219,502.445,99.779,149.39,0,4477.401,0.26,654.557,849.747,227.339,2129.324,0,0,0,25538.179
