"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","..","TOTAL"
"IMP_J58T60",0.068,0.002,0.005,0.001,0.475,0.062,0.059,0.005,0.02,0.075,0.009,0.102,0.395,0.067,0.021,0.03,0.052,0.02,0.014,0.032,0.116,0.064,0.046,0.076,0.008,0.027,0.082,0.068,0.013,0.207,0.536,0.41,0.088,0.221,0.088,0.022,0.015,2.358,1.437,0.34,0.803,0.199,1.812,0.14,0.158,0.135,0.071,0.085,0.105,0,14.632,0.05,9.247,19.571,0.06,0.187,0,0,0,54.992
"IMP_J61",0.031,0.002,0.004,0.001,0.834,0.032,0.056,0.004,0.008,0.071,0.009,0.044,0.107,0.023,0.015,0.018,0.039,0.016,0.012,0.045,0.132,0.047,0.067,0.085,0.006,0.01,0.095,0.062,0.014,0.283,0.65,0.306,0.047,0.081,0.149,0.046,0.014,0.315,11.601,0.375,1.568,0.355,0.668,0.224,0.296,0.046,0.113,0.05,0.103,0,21.888,0.002,1.09,2.388,0.01,0.698,0,0,0,45.257
"IMP_J62_63",0.162,0.008,0.02,0.004,2.138,0.231,0.286,0.018,0.041,0.196,0.03,0.161,2.201,0.272,0.073,0.117,0.229,0.086,0.051,0.127,0.496,0.197,0.17,0.224,0.025,0.042,0.28,0.423,0.066,0.906,1.769,2.045,0.444,1.126,0.504,0.114,0.031,0.757,4.52,4.636,4.918,0.695,2.378,0.603,0.611,0.135,0.233,0.11,0.171,0,8.124,0.023,4.461,198.614,0.07,0.056,0,0,0,246.43
"IMP_K",0.059,0.004,0.006,0.002,1.211,0.083,0.105,0.01,0.01,0.094,0.014,0.071,0.317,0.051,0.017,0.033,0.093,0.042,0.023,0.083,0.14,0.076,0.097,0.096,0.011,0.019,0.11,0.128,0.023,0.439,0.708,0.627,0.149,0.209,0.189,0.022,0.01,0.108,0.554,0.183,10.155,0.814,0.618,0.225,0.114,0.03,0.051,0.034,0.05,0,31.331,0.024,2.137,5.242,0,0.671,0,0,0,57.722
"IMP_L",0.059,0.003,0.002,0.001,0.756,0.039,0.064,0.006,0.018,0.119,0.009,0.051,0.194,0.023,0.014,0.019,0.049,0.015,0.014,0.056,0.112,0.047,0.049,0.069,0.012,0.009,0.124,0.062,0.012,0.43,1.339,0.325,0.058,0.103,0.302,0.035,0.029,0.176,0.941,0.234,1.184,1.082,0.793,0.224,0.159,0.06,0.113,0.066,0.097,0,18.915,0.095,3.299,14.523,0,2.913,0,0,0,49.502
"IMP_M",0.905,0.026,0.038,0.03,26.617,1.883,2.006,0.428,0.221,1.616,0.154,0.931,4.332,0.731,0.478,0.49,1.475,0.439,0.319,1.121,4.473,1.531,1.555,2.63,0.281,0.374,2.278,2.567,0.477,18.195,12.542,3.882,0.843,1.665,2.772,0.217,0.139,4.291,14.622,4.233,22.06,9.47,38.106,3.718,4.125,0.842,1.295,0.847,1.299,0,53.113,0.507,88.882,297.203,0.04,0.312,0,0,0,645.628
"IMP_N",0.397,0.036,0.031,0.019,23.641,1.464,1.712,0.195,0.133,0.858,0.137,0.785,2.527,0.404,0.285,0.363,1.05,0.246,0.214,0.796,1.817,0.93,1.128,1.537,0.175,0.236,1.63,1.754,0.445,6.2,8.91,5.122,1.488,2.689,4.184,0.559,0.136,2.463,13.336,3.478,14.966,7.77,10.017,5.436,3.146,0.966,1.374,0.846,1.021,0,75.094,0.134,67.534,21.858,0.02,0.555,0,0,0,304.252
"IMP_O",0.073,0.001,0.002,0,0.138,0.012,0.017,0.002,0.019,0.017,0.002,0.008,0.079,0.013,0.007,0.006,0.013,0.004,0.002,0.007,0.017,0.009,0.008,0.012,0.001,0.003,0.014,0.014,0.003,0.068,0.082,0.097,0.036,0.055,0.047,0.004,0.007,0.03,0.069,0.037,0.093,0.037,0.095,0.019,0.022,0.005,0.018,0.013,0.007,0,1.137,0.015,1.675,1.852,0,0.109,0,0,0,6.131
"IMP_P",0.026,0.001,0.001,0,0.228,0.009,0.016,0.001,0.007,0.015,0.002,0.009,0.045,0.01,0.005,0.006,0.011,0.003,0.002,0.006,0.018,0.011,0.01,0.013,0.001,0.002,0.015,0.011,0.002,0.042,0.092,0.058,0.032,0.186,0.07,0.014,0.002,0.025,0.1,0.065,0.161,0.029,0.097,0.042,0.027,0.006,0.014,0.005,0.009,0,0.671,0.003,0.671,3.629,0,2.476,0,0,0,9.018
"IMP_Q",0.011,0,0.001,0,0.034,0.004,0.004,0,0.002,0.072,0.001,0.009,0.017,0.013,0.008,0.009,0.006,0.004,0.001,0.007,0.015,0.011,0.009,0.012,0.001,0.001,0.013,0.003,0.001,0.027,0.017,0.011,0.003,0.006,0.006,0.001,0.002,0.005,0.018,0.009,0.018,0.008,0.019,0.005,0.005,0.002,0.021,0.002,0.003,0,0.253,0,0.214,0.556,0,0.626,0,0,0,2.108
"IMP_R",0.024,0,0.001,0,0.057,0.005,0.006,0,0.006,0.011,0.001,0.005,0.025,0.007,0.003,0.003,0.005,0.002,0.001,0.003,0.008,0.005,0.005,0.007,0.001,0.001,0.008,0.006,0.001,0.024,0.042,0.028,0.007,0.015,0.01,0.001,0.005,0.113,0.054,0.014,0.047,0.019,0.055,0.015,0.018,0.005,0.009,0.073,0.009,0,4.51,0.127,9.177,0.808,0,1.345,0,0,0,16.741
"IMP_S",0.023,0,0.001,0,0.044,0.007,0.008,0,0.005,0.013,0.001,0.005,0.074,0.012,0.003,0.006,0.007,0.003,0.001,0.004,0.009,0.006,0.005,0.007,0.001,0.002,0.008,0.008,0.001,0.023,0.026,0.063,0.014,0.034,0.011,0.001,0.004,0.018,0.027,0.013,0.025,0.008,0.023,0.006,0.007,0.002,0.007,0.003,0.003,0,0.403,0.002,0.289,0.643,0,0.72,0,0,0,2.642
"IMP_T",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IMP_OTHER",-0.977,0.023,0.196,0.021,8.561,1.583,1.727,0.097,-0.207,14.155,0.182,1.52,18.226,2.214,0.437,1.283,1.791,0.984,0.349,1.228,2.066,1.746,1.413,3.368,0.191,0.318,2.497,1.778,0.206,6.859,4.099,15.33,3.429,8.449,1.637,0.245,0.341,0.5,1.656,0.361,1.684,0.731,1.705,0.783,0.91,0.208,1.187,0.231,0.441,0,67.395,0.01,6.483,45.513,2.112,2.508,0,0,0,241.784
"TXS_INT_FNL",2.708,0.026,0.697,0.033,16.855,2.275,2.399,0.143,1.773,50.789,0.759,2.909,1.713,1.677,0.83,4.562,5.269,1.331,0.55,2.739,8.069,5.452,4.879,28.148,0.665,1.2,15.826,0.837,0.497,30.896,17.648,17.186,1.011,1.148,2.402,0.354,2.684,1.497,4.297,0.935,5.469,3.038,5.892,2.204,2.724,1.311,5.164,1.322,1.669,0,405.63,0.092,21.472,397.719,18.646,0,4.362,88.638,0,1211.019
"TTL_INT_FNL",22871.546,481.029,4500.642,5.304,2447.039,457.055,589.334,21.561,7848.214,4504.07,683.436,681.368,1988.933,1014.848,389.118,652.957,858.365,583.366,577.573,705.385,700.842,513.67,575.186,950.427,78.155,103.399,1066.954,472.298,79.519,4091.433,4957.625,1780.75,862.161,765.858,574.638,81.443,2044.165,408.593,1355.096,197.506,1289.135,735.291,1001.395,570.542,940.467,295.641,824.964,301.379,360.88,0,32369.942,164.637,10520.569,17755.481,389.289,36.643,424.198,16686.775,0,158188.09
"VALU",19783.91,542.407,4035.405,3.413,1749.558,332.163,320.675,17.177,2888.938,2173.756,320.787,318.895,527.591,393.24,229.896,259.465,427.127,215.948,190.77,354.705,325.13,208.094,300.713,414.919,48.147,57.08,593.687,286.502,65.414,2150.897,4843.865,1203.889,458.816,345.185,419.115,73.859,1414.279,263.586,1102.281,179.962,1285.54,1660.586,954.533,625.175,1860.8,1128.35,1362.431,230.451,390.81,0,0,0,0,0,0,0,0,0,0,59339.921
"OUTPUT",42655.457,1023.436,8536.046,8.717,4196.597,789.218,910.009,38.738,10737.152,6677.826,1004.224,1000.263,2516.523,1408.088,619.014,912.422,1285.491,799.315,768.343,1060.09,1025.972,721.765,875.899,1365.345,126.302,160.48,1660.641,758.8,144.933,6242.33,9801.49,2984.639,1320.977,1111.043,993.754,155.302,3458.444,672.179,2457.377,377.468,2574.675,2395.877,1955.928,1195.717,2801.268,1423.991,2187.395,531.83,751.689,0,0,0,0,0,0,0,0,0,0,139180.479
