"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","..","TOTAL"
"DOM_C26",81.371,4.968,19.649,0.922,0.615,0.443,12.898,0.078,265.987,140.058,19.836,118.664,101.577,1009.48,99.294,388.662,153.709,188.645,121.011,588.559,70046.538,6425.627,3958.054,3815.146,1111.932,197.839,377.024,561.217,88.848,1962.647,2139.553,46.405,103.874,47.843,265.747,76.808,501.268,438.194,2415.461,1529.019,524.13,388.665,1875.184,453.347,626.049,649.241,1144.437,240.521,1720.031,0,16650.462,43.908,113.427,32471.083,2699.141,0,62.383,182863.374,0,341950.858
"DOM_C27",60.993,3.914,27.612,1.533,0.466,0.851,24.353,0.117,221.102,88.119,17.835,92.912,43.388,432.117,38.755,251.542,133.829,292.34,198.384,904.916,9918.152,20657.8,5960.729,8391.132,841.232,338.863,390.72,2008.051,123.345,6539.62,1762.113,68.938,118.447,18.804,165.185,26.986,369.809,133.377,833.022,276,197.437,329.512,1038.11,332.347,449.416,278.72,389.342,220.154,1194.638,0,7838.655,20.02,0.237,12231.046,1152.626,0,24.663,31094.236,0,118568.564
"DOM_C28",130.935,28.85,60.194,9.333,3.479,3.161,71.271,0.439,621.11,195.117,62.785,268.719,260.662,650.199,59.032,364.03,567.286,1173.667,445.635,1429.215,1967.918,2643.774,18680.703,5937.143,1949.643,326.362,461.56,873.294,562.03,3508.478,1519.291,59.603,50.289,15.482,202.094,32.755,264.389,84.023,141.317,112.342,190.438,236.672,757.323,376.324,437.919,235.549,296.344,126.046,336.084,0,2507.999,41.834,44.79,48762.733,4678.031,0,9.463,45155.421,0,149990.576
"DOM_C29",44.774,18.181,16.755,0.523,0.306,0.617,13.828,0.05,140.086,60.011,13.312,33.769,40.742,170.485,17.339,120.02,111.842,137.133,99.084,273.078,1262.731,2315.707,1405.481,55827.983,187.658,173.64,96.435,319.726,88.424,1073.644,6873.599,370.667,132.119,43.514,244.955,44.134,129.306,46.524,132.852,124.561,129.941,111.989,502.245,378.905,198.255,129.313,126.886,74.551,195.883,0,34097.948,1.685,1.323,31790.235,2997.897,0,35.141,73263.709,0,216241.499
"DOM_C301",11.994,1.143,12.931,0.341,0.146,0.117,2.735,0.017,83.836,14.01,10.187,10.082,10.388,69.549,5.204,38.501,28.337,128.656,36.65,579.859,176.03,189.31,678.279,479.932,3993.639,105.448,57.588,30.867,10.081,546.657,63.16,6.034,336.173,21.553,26.615,1.137,24.316,2.977,7.025,3.775,3.561,41.475,36.143,18.616,90.087,10.683,9.299,5.97,30.73,0,88.712,0.035,0.001,7822.263,770.063,0,0.088,17609.824,0,34342.83
"DOM_C302T309",0.245,0.389,7.225,0.03,0.007,0.009,0.076,0.001,2.718,0.303,0.221,0.181,0.158,1.226,0.061,1.895,1.562,79.569,3.344,58.298,17.466,19.311,54.369,328.36,277.487,832.897,14.712,1.117,1.339,25.612,50.684,26.292,33.89,69.178,11.853,0.475,0.628,0.032,0.065,0.155,0.666,0.814,3.59,10.618,75.19,1.536,5.944,0.923,25.892,0,314.622,0,0,4481.393,434.053,0,0,3189.415,0,10468.096
"DOM_C31T33",43.712,6.112,32.224,0.443,0.462,0.296,9.811,0.053,181.847,280.955,20.928,70.775,37.501,246.845,48.398,78.704,70.642,143.971,66.817,138.258,538.39,222.092,275.637,398.314,156.671,26.444,1152.06,158.512,82.77,814.744,701.947,44.48,68.284,36.103,141.124,37.531,434.023,90.235,97.922,84.271,254.937,254.4,588.23,241.947,340.085,708.625,1445.111,306.645,349.025,0,8583.221,8.9,16.58,3717.052,365.05,0,113.002,4400.607,0,28733.729
"DOM_D",789.889,24.563,160.069,12.124,6.336,5.871,193.337,0.198,3564.317,1579.221,199.562,1490.507,1652.227,6294.179,303.693,1762.577,1967.852,4634.572,1867.817,1785.344,2264.68,1151.637,1459.048,2168.138,433.444,148.761,342.988,16105.45,768.148,1043.826,6945.472,358.143,62.368,17.429,818.556,175.02,5502.657,394.343,916.187,312.006,921.621,2244.047,1580.784,436.76,1795.417,2708.506,2179.937,944.152,1306.473,0,22935.396,5.979,0.086,40.967,0,0,0.595,13.347,0,106796.625
"DOM_E",113.048,1.903,30.529,0.988,0.45,0.829,16.079,0.075,550.768,131.024,35.066,661.546,158.246,541.098,49.86,164.851,197.24,4369.558,1950.65,313.916,207.545,138.89,269.347,208.875,71.36,34.881,44.72,500.744,4001.829,404.726,996.54,21.511,25.593,4.017,107.237,29.572,849.857,31.743,28.893,28.113,111.405,511.509,383.882,105.778,1301.012,570.634,725.999,129.261,168.445,0,3662.244,34.398,4.091,2.286,-0.004,0,0.084,14.943,0,25019.687
"DOM_F",195.217,32.351,44.05,1.805,0.504,0.552,17.318,0.134,165.363,73.129,15.985,50.929,98.726,216.127,20.949,82.873,119.367,195.843,102.017,260.004,159.611,131.798,187.649,192.907,97.365,17.268,81.01,1094.174,280.872,19201.335,1343.464,75.124,48.532,9.916,575.592,47.062,578.326,82.82,346.312,63.233,356.845,13360.632,1194.726,194.521,1901.514,865.691,576.671,169.739,198.313,0,135.123,23.316,1.608,194783.575,0.04,0,3.464,61.755,0,240135.149
"DOM_G",2029.959,76.069,412.542,6.821,2.429,3.723,99.934,0.358,9601.278,5466.299,406.635,1654.79,2479.702,11888.115,1977.854,4378.899,1574.454,4141.826,1189.175,4082.497,17602.647,5747.946,7426.519,12340.152,1658.47,425.419,1396.972,1942.281,477.954,8186.13,5716.988,964.586,1032.532,469.17,765.668,236.543,7979.854,543.101,760.882,464.259,502.568,889.421,1854.816,1399.835,1362.201,1066.701,5050.224,539.278,1466.107,0,68382.946,33.74,20.033,21930.218,0.01,0,204.138,57473.468,0,289787.133
"DOM_H49",249.131,49.048,42.687,5.996,2.031,1.593,97.536,0.223,1568.664,400.871,127.34,330.738,1512.506,1597.79,154.769,461.657,640.186,976.195,417.652,598.202,1272.107,619.35,795.853,1105.99,149.961,53.558,183.768,890.139,182.555,1096.888,3647.908,581.09,164.053,40.136,1411.872,537.087,670.603,189.801,113.963,80.68,253.318,160.31,670.078,304.473,436.628,510.041,537.724,117.969,331.571,0,9664.536,9.194,1.354,1884.17,0.02,0,476.332,3551.722,0,41931.622
