"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","..","TOTAL"
"IMP_C22",34.5,2.061,1.228,0.242,0.289,0.05,0.536,0.07,126.482,16.661,13.69,18.481,0.688,56.814,2.514,178.507,7.716,0.078,0.01,16.793,20.505,11.808,9.182,15.194,0.587,2.882,82.258,0.624,6.085,98.147,107.731,103.832,0.163,0.457,6.48,0.702,3.516,1.956,0.871,1.76,2.002,13.399,10.144,20.6,4.554,3.102,6.879,2.231,3.77,0,275.325,0,0.589,7.733,9.861,0.279,0,0,0,1312.618
"IMP_C23",9.161,0.494,0.111,0.046,0.11,0.037,0.494,0.03,21.075,3.07,5.015,0.744,0.314,10.314,0.453,8.331,57.636,0.196,0.006,4.875,5.152,2.267,1.259,1.865,0.238,0.298,13.288,0.53,1.404,267.609,10.571,5.726,0.07,0.081,1.317,0.095,1.848,0.145,0.186,0.44,0.429,23.007,3.084,3.266,1.669,1.704,1.609,0.705,1.253,0,66.557,0,0.19,3.185,3.45,0.195,0,0,0,547.207
"IMP_C24A",6.034,0.795,0.139,0.432,1.448,0.12,0.322,0.145,5.362,1.241,7.135,1.499,0.573,6.341,0.098,20.491,14.51,17.714,0.085,487.752,24.334,26.371,76.939,36.328,6.895,16.433,106.118,1.98,21.28,306.158,22.121,11.746,0.129,0.106,4.112,0.059,0.198,0.065,0.062,0.121,0.228,8.159,7.342,2.572,1.533,0.839,0.425,0.743,1.102,0,2.692,0,0.947,0.735,0.757,0.038,0,0,0,1261.904
"IMP_C24B",1.468,0.278,0.012,0.02,0.129,0.021,0.073,0.009,9.569,0.92,2.851,1.55,0.166,24.905,0.216,8.091,3.258,1.48,0.948,121.451,34.947,37.082,16.734,10.511,0.982,4.328,89.031,0.543,10.751,39.509,11.157,3.07,0.034,0.017,0.638,0.007,0.348,0.125,0.04,0.095,0.166,2.019,1.191,0.529,0.536,0.077,0.384,0.274,0.631,0,8.759,0,0.002,2.789,2.871,0.054,0,0,0,457.646
"IMP_C25",21.74,3.178,0.635,0.585,0.838,0.118,0.787,0.287,54.693,6.081,20.83,3.84,0.912,25.019,0.511,19.24,8.421,0.795,0.029,151.708,20.105,14.906,38.505,18.278,3.916,6.622,100.767,2.001,4.819,230.965,44.813,22.648,0.158,0.343,4.953,0.235,2.874,0.718,1.306,2.335,0.952,18.57,10.826,16.732,15.933,2.684,3.256,1.931,3.706,0,246.792,0,0.338,122.907,124.578,0.348,0,0,0,1411.065
"IMP_C26",2.551,0.389,0.15,0.049,0.101,0.013,0.114,0.029,3.898,0.857,0.861,1.014,0.376,4.326,0.16,2.011,0.855,0.051,0.003,3.991,124.97,9.962,5.404,2.839,0.56,1.015,17.537,1.397,1.165,16.697,27.271,9.96,0.096,0.611,2.925,0.604,1.032,2.869,11.275,33.398,5.69,2.801,13.202,12.475,7.301,3.439,7.009,2.209,2.922,0,278.079,0,0.356,309.804,283.675,1.873,0,0,0,1224.221
"IMP_C27",8.46,0.736,0.585,0.178,0.189,0.062,0.589,0.131,8.734,1.259,2.135,2.521,0.365,7.395,0.227,6.162,2.612,0.127,0.01,14.753,69.963,97.599,22.498,18.695,1.337,4.434,67.27,12.768,3.987,163.898,64.826,40.044,0.305,0.718,5.016,0.422,2.79,2.3,12.79,11.198,1.572,8.138,20.036,24.219,13.474,3.781,6.908,5.468,6.652,0,519.106,0,0.358,144.212,148.256,0.891,0,0,0,1563.156
"IMP_C28",27.962,9.525,2.042,1.684,2.34,0.351,2.647,0.757,35.744,6.148,11.07,8.213,3.61,21.644,0.53,14.919,16.424,0.434,0.019,33.439,22.437,19.178,104.119,20.143,4.691,6.319,124.933,8.228,10.056,128.726,76.01,51.526,0.213,1.002,8.939,0.817,1.636,1.906,3.115,7.718,5.133,4.948,18.717,31.76,14.434,4.246,7.473,3.725,3.888,0,188.261,0,0.657,709.473,710.127,0.366,0,0,0,2504.422
"IMP_C29",4.073,2.223,0.27,0.087,0.151,0.031,0.239,0.052,6.12,1.461,1.538,1.027,0.287,3.81,0.112,4.861,1.84,0.075,0.006,5.808,4.068,3.75,6.39,65.754,0.345,1.466,15.002,0.904,1.691,17.303,110.585,100.341,0.177,0.918,4.041,0.309,0.485,0.392,0.643,1.502,0.776,1.594,3.545,8.454,2.834,1.053,1.576,0.862,0.75,0,433.659,0,0.204,323.425,327.304,1.522,0,0,0,1477.696
"IMP_C301",0.037,0.011,0.472,0.001,0.012,0.001,0.005,0,0.052,0.005,0.012,0.004,0.003,0.019,0,0.017,0.006,0,0,0.086,0.071,0.021,0.12,0.094,12.022,1.898,2.78,0.006,0.014,0.13,0.382,3.034,1.748,1.439,1.048,0.006,0.005,0.002,0.002,0.006,0.014,0.013,0.055,0.219,3.939,0.021,0.011,0.048,0.09,0,6.31,0,0,25.332,25.459,0.004,0,0,0,87.088
