"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","..","TOTAL"
"DOM_C26",9.641,0.54,0.083,0.015,0.355,0,0.548,0.592,17.347,1.461,1.536,4.193,3.323,10.416,6.039,12.72,5.072,2.931,2.967,18.199,643.916,283.988,57.381,221.729,0.115,8.446,21.377,30.032,4.67,93.992,65.423,11.558,0.15,6.121,4.577,0.975,9.088,7.576,13.939,23.735,13.856,13.006,51.549,20.788,26.334,8.848,17.184,9.709,12.363,0,147.78,0.613,17.282,405.906,134.372,0,7.005,12912.287,0,15405.647
"DOM_C27",11.471,0.609,0.12,0.026,0.384,0,1.032,0.847,17.909,2.563,2.33,5.729,2.758,11.148,4.223,19.025,8.297,5.504,6.799,45.807,419.741,1222.102,171.181,740.082,0.246,25.362,57.487,105.287,9.632,342.204,93.519,19.918,0.239,5.242,5.152,0.728,10.047,6.212,16.883,11.352,3.751,15.437,44.803,27.79,32.726,7.937,13.58,14.681,14.392,0,293.337,0.141,5.961,364.912,143.341,0,6.474,9431.521,0,13829.98
"DOM_C28",10.497,1.244,0.105,0.049,0.919,0,1.078,1.144,18.895,2.843,2.377,4.987,4.629,9.651,3.854,13.287,10.809,5.504,4.269,38.251,86.857,197.125,187.445,260.833,0.213,11.551,31.258,28.617,5.795,113.809,49.261,10.095,0.099,3.593,3.69,0.548,5.363,3.344,4.181,6.738,6.959,9.056,32.146,14.219,17.355,4.544,7.398,6.216,5.176,0,57.688,0.227,7.614,490.737,235.161,0,2.507,6585.476,0,8627.286
"DOM_C29",8.473,1.479,0.074,0.029,0.626,0,0.868,0.952,20.172,3.555,2.465,3.715,3.027,8.896,4.78,18.186,36.199,6.078,4.904,43.234,149.587,183.547,110.22,2478.564,0.157,13.089,24.933,22.823,6.948,216.832,142.571,41.378,0.164,4.869,5.344,0.753,5.068,3.361,4.972,9.521,6.057,15.744,41.204,16.34,23.421,5.534,7.768,6.353,5.697,0,603.291,0.874,22.17,1173.552,559.198,0,9.45,26353.244,0,32442.313
"DOM_C301",0.007,0.001,0.011,0,0.003,0,0.001,0,0.011,0.001,0.001,0.002,0.002,0.004,0.001,0.006,0.002,0.002,0.002,0.031,0.062,0.041,0.125,0.493,0.369,1.526,0.38,0.008,0.004,0.044,0.07,0.175,0.165,0.868,0.119,0.001,0.003,0.001,0.001,0.001,0.003,0.005,0.015,0.024,1.133,0.006,0.003,0.017,0.029,0,1.145,0,0.001,9.544,4.83,0,0,9.966,0,31.267
"DOM_C302T309",0.008,0.015,0.009,0,0.001,0,0.001,0.001,0.036,0.001,0.003,0.001,0,0.006,0.001,0.012,0.007,0.006,0.006,0.133,0.162,0.199,0.218,8.784,0.025,28.886,1.093,0.01,0.006,0.109,0.773,2.213,0.02,3.908,0.109,0.004,0.004,0,0,0.002,0.004,0.006,0.043,0.133,1.689,0.015,0.07,0.02,0.099,0,5.505,0,0,28.229,16.949,0,0,1432.215,0,1531.753
"DOM_C31T33",44.711,3.134,0.509,0.052,1.519,0,2.701,1.664,39.998,6.933,8.712,12.862,10.808,24.389,9.44,18.317,17.613,13.206,8.632,37.967,53.854,37.982,37.037,112.773,0.107,8.508,111.393,53.991,17.15,96.554,80.996,47.269,0.683,49.366,12.814,2.134,19.131,6.224,7.429,13.328,18.62,18.945,44.061,35.357,47.787,29.222,69.039,30.74,21.238,0,256.089,0.17,40.953,468.603,47.29,0,27.842,2989.878,0,5177.723
"DOM_D",205.687,6.224,1.234,0.385,9.826,0.002,15.507,2.862,329.723,29.304,29.717,131.125,133.181,283.316,47.818,182.573,186.403,143.482,119.015,163.071,190.941,136.342,87.938,394.401,0.256,22.781,51.451,1706.928,152.359,145.067,628.199,190.618,0.258,7.224,49.81,10.482,249.549,38.837,39.807,29.071,56.396,204.65,109.403,79.309,269.398,172.549,177.802,135.157,86.2,0,992.713,0.819,25.805,245.893,2.024,0,5.109,1038.847,0,9754.846
"DOM_E",34.32,0.791,0.229,0.033,0.749,0,1.453,0.972,56.515,3.117,5.237,48.895,13.405,29.916,8.648,20.115,20.776,107.745,98.193,26.852,20.882,18.547,16.162,42.007,0.044,5.065,7.53,55.383,396.483,53.636,106.168,14.388,0.151,2.623,8.226,1.864,40.442,3.764,2.239,4.124,9.417,45.974,27.205,25.152,164.49,38.656,53.904,20.816,13.553,0,763.254,1.539,120.454,76.266,0.23,0,3.103,110.081,0,2751.783
"DOM_F",81.249,12.039,0.547,0.096,1.481,0,2.712,3.182,37.327,2.828,5.216,9.975,14.653,20.73,7.684,18.31,35.546,14.363,13.448,52.277,34.031,35.264,28.978,91.851,0.117,6.223,37.34,170.455,73.993,2985.778,268.158,67.391,0.35,10.29,52.66,4.845,51.815,13.515,23.698,12.445,35.575,872.53,172.79,63.561,399.77,82.265,71.345,39.379,25.286,0,160.837,0.151,120.089,19884.21,4.499,0,20.054,388.82,0,26644.02
"DOM_G",761.089,37.744,2.84,0.202,3.978,0.001,7.911,5.088,1520.621,104.589,109.104,170.729,133.679,515.75,205.96,449.069,169.922,87.271,64.732,297.123,969.039,698.509,432.391,1644.128,1.085,67.657,218.884,172.438,87.763,938.605,795.412,354.298,2.787,113.781,52.051,13.166,426.966,63.338,38.673,76.296,82.528,118.611,223.913,206.386,218.3,92.879,278.999,102.479,80.72,0,7364.96,12.773,305.904,2302.502,10.132,0,202.532,10524.924,0,33943.21
"DOM_H49",130.721,23.344,0.587,0.356,5.896,0.001,15.077,5.864,298.711,15.653,39.093,58.068,98.443,133.741,42.409,95.312,118.275,44.668,34.546,99.959,164.318,145.928,92.926,379.109,0.209,16.015,52.851,108.369,39.887,237.058,941.864,600.093,1.063,23.314,157.8,60.63,50.675,24.78,9.323,13.531,35.046,31.326,90.834,82.263,120.697,63.109,77.299,33.242,36.262,0,563.385,0.113,1080.153,419.365,0.28,0,396.214,3235.631,0,10645.685
"DOM_H50",2.058,2.065,0.157,0.005,0.36,0,0.532,0.097,6.878,0.603,1.31,1.77,8.775,4.142,0.787,2.739,2.217,1.975,1.792,3.17,4.64,5.85,2.715,8.731,0.009,0.526,1.703,3.327,0.399,5.099,51.698,12.932,6.813,0.732,22.086,0.545,0.885,0.354,0.202,0.355,0.466,0.478,3.124,2.871,3.231,0.548,0.751,1.169,0.497,0,21.189,0.78,2.695,18.249,0.02,0,23.959,36.535,0,287.596
