"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","..","TOTAL"
"IMP_C24A",4,0.069,0.005,2.795,3.742,1.008,0.763,0.559,7.524,1.295,0.344,1.473,3.124,4.007,0.958,11.871,20.336,46.687,3.308,151.43,2.06,15.439,22.427,7.85,1.412,1.948,8.931,2.978,9.607,193.955,5.488,2.438,0.039,1.204,0.399,0.006,0.34,0.073,0.179,0.029,0.152,1.51,0.724,0.527,2.247,1.387,0.542,0.812,1.774,0,9.184,0,0.009,1.162,0.263,0.051,0,0,0,562.443
"IMP_C24B",4.086,0.099,0.001,0.644,1.739,0.884,0.799,0.173,62.646,3.76,0.71,7.553,2.645,64.689,10.242,24.781,23.933,20.72,189.167,200.596,15.675,115.094,25.935,12.071,1.067,2.721,40.554,3.853,22.321,132.281,13.939,1.514,0.03,0.097,0.286,0.001,2.083,0.475,0.319,0.058,0.417,1.694,0.722,0.453,3.006,0.359,1.524,1.322,5.112,0,7.534,0.001,0.01,0.564,0.229,0.073,0,0,0,1033.26
"IMP_C25",7.657,0.135,0.005,2.346,1.363,0.607,1.013,0.681,41.335,2.996,0.694,2.013,1.583,8.04,2.809,6.583,7.384,1.443,0.888,33.244,1.14,5.873,7.205,2.612,0.543,0.529,5.573,1.592,1.889,100.814,6.829,1.228,0.018,0.3,0.271,0.005,2.197,0.296,1.311,0.152,0.17,2.503,0.689,1.724,12.117,2.34,1.482,1.194,2.972,0,81.6,0.005,0.52,93.505,32.7,0.471,0,0,0,497.187
"IMP_C26",1.036,0.021,0.002,0.2,0.212,0.075,0.164,0.079,3.139,4.519,0.031,0.839,0.607,1.898,1.179,0.95,0.909,0.102,0.13,1.194,16.2,6.836,1.703,0.671,0.141,0.116,1.569,1.689,1.346,9.706,7.935,0.759,0.015,0.892,0.256,0.027,1.344,2.374,25.086,3.89,1.744,0.281,1.298,2.061,8.087,5.639,8.232,2.688,6.187,0,209.744,0.056,1.192,288.655,100.954,2.533,0,0,0,739.19
"IMP_C27",4.195,0.041,0.008,1.035,0.407,0.493,1.23,0.476,8.718,1.07,0.086,1.936,0.666,3.302,1.725,2.921,3.271,0.313,0.463,4.534,6.216,62.12,6.66,4.32,0.277,0.543,5.098,18.624,2.852,110.721,16.572,3.926,0.055,0.948,0.439,0.019,4.726,1.754,22.41,1.453,0.544,1.284,2.052,3.875,15.892,5.58,6.332,6.102,10.773,0,30.391,0.007,0.087,8.146,2.553,1.202,0,0,0,401.444
"IMP_C28",4.202,0.164,0.008,2.631,1.488,0.711,1.411,0.699,11.254,1.253,0.143,1.885,1.996,2.861,1.342,2.166,5.694,0.361,0.263,3.001,0.6,3.368,7.462,1.14,0.233,0.189,2.343,2.921,2.001,21.499,4.779,1.396,0.012,0.637,0.211,0.01,0.572,0.371,1.62,0.263,0.562,0.234,0.482,1.413,4.329,1.606,1.899,0.976,1.451,0,74.034,0.016,0.212,341.416,118.564,0.496,0,0,0,642.85
"IMP_C29",1.46,0.185,0.003,0.162,0.195,0.19,0.365,0.109,3.036,0.391,0.046,0.275,0.377,0.992,0.386,0.85,1.803,0.172,0.384,1.345,0.207,1.341,0.936,20.971,0.036,0.179,0.716,0.644,0.922,5.953,26.638,13.599,0.04,1.674,0.439,0.017,0.281,0.183,0.622,0.126,0.236,0.155,0.257,1.625,2.823,1.242,0.866,0.615,0.641,0,621.64,0.03,0.356,336.369,120.022,2.058,0,0,0,1177.186
"IMP_C301",0.025,0,0,0.004,0.003,0.001,0.004,0.001,0.053,0.007,0.001,0.006,0.009,0.012,0.006,0.007,0.012,0.001,0.001,0.016,0.002,0.008,0.006,0.005,0.018,0.002,0.007,0.009,0.006,0.058,0.027,0.019,0.002,0.036,0.004,0,0.005,0.001,0.008,0.001,0.001,0.002,0.001,0.004,0.048,0.005,0.006,0.004,0.005,0,1.036,0,0.001,3.039,1.042,0.005,0,0,0,5.593
"IMP_C302T309",0.05,0.003,0.001,0.015,0.006,0.004,0.008,0.004,0.174,0.02,0.001,0.017,0.047,0.043,0.023,0.024,0.03,0.006,0.012,0.05,0.008,0.038,0.02,0.072,0.03,0.424,0.089,0.023,0.016,0.147,0.296,0.613,0.007,1.395,0.039,0.001,0.014,0.006,0.029,0.011,0.011,0.004,0.01,0.048,1.018,0.029,0.06,0.021,0.095,0,25.162,0.006,0.035,51.809,18.105,0.037,0,0,0,100.269
"IMP_C31T33",9.728,0.123,0.014,0.875,0.688,0.3,1.246,0.312,12.678,2.672,0.227,2.023,1.916,3.324,1.977,1.453,3.448,0.327,0.244,1.311,0.583,0.836,0.487,0.207,0.03,0.061,2.02,3.447,2.401,6.52,3.644,3.456,0.06,5.724,0.375,0.014,1.657,0.372,2.708,0.362,0.54,0.337,0.356,1.223,4.927,2.621,4.246,1.753,1.258,0,161.859,0.029,1.852,79.133,16.454,9.713,0,0,0,366.15
