"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","..","TOTAL"
"IMP_N",120.981,9.455,15.184,0.903,11.479,6.332,80.836,24.363,281.81,56.632,47.474,88.336,51.055,769.006,98.127,143.255,121.182,82.186,140.678,93.034,640.835,638.193,703.057,1026.174,26.827,63.161,1189.895,224.607,262.616,3594.44,4765.836,397.407,30.227,164.522,287.41,10.891,380.758,961.811,1376.08,3864.315,706.409,371.068,1124.181,807.215,1498.215,215.609,1316.232,181.83,201.474,0,3091.915,5.626,384.476,109.342,1.1,50.207,0,0,0,32916.267
"IMP_O",4.008,3.853,0.211,0.003,0.036,0.018,0.355,0.081,14.157,0.703,11.811,1.675,3.952,7.025,2.946,2.971,1.473,3.562,2.325,0.985,4.05,3.291,5.243,4.13,0.266,0.851,6.027,6.599,2.016,12.533,26.382,3.208,7.908,0.943,3.015,0.178,6.194,2.673,9.061,8.791,12.8,13.008,13.718,5.66,8.431,1.745,10.358,1.764,2.443,0,146.322,0.363,6.995,81.798,0.49,9.871,0,0,0,491.277
"IMP_P",1.646,0.072,0.12,0.002,0.029,0.012,0.218,0.188,4.426,0.446,0.471,2.141,2.446,5.229,5.335,1.92,0.816,1.122,1.353,0.652,7.545,2.823,3.453,4.097,0.179,0.329,5.277,4.822,1.791,8.868,22.608,1.534,9.328,0.436,2.405,0.23,2.644,3.372,8.564,17.088,11.828,2.306,51.879,4.371,14.806,1.475,7.296,1.357,2.38,0,48.59,2.498,41.407,450.307,0.24,224.13,0,0,0,1000.904
"IMP_Q",1.182,0.033,0.176,0.001,0.019,0.01,0.172,0.037,3.633,0.554,0.238,0.673,1.197,4.669,4.69,1.999,0.519,2.3,1.338,0.922,12.948,7.03,6.77,5.73,0.272,0.393,7.136,1.466,0.894,8.123,11.656,0.817,0.363,0.342,0.578,0.08,1.764,1.609,2.416,5.19,2.578,0.761,4.874,2.129,5.484,0.769,15.477,0.728,1.31,0,47.546,0.113,2.447,42.777,1.21,56.592,0,0,0,284.735
"IMP_R",1.589,0.103,0.195,0.004,0.055,0.031,0.446,0.104,8.66,0.539,0.469,1.081,0.972,7.483,4.659,1.938,0.805,0.863,1.381,0.825,4.395,4.174,5.208,7.263,0.243,0.569,8.31,2.857,1.753,17.357,30.424,2.844,0.373,0.928,1.796,0.157,6.011,16.578,10.363,18.269,11.892,4.768,12.292,6.264,8.548,1.619,15.595,4.905,2.469,0,243.11,17.301,138.682,24.239,0.22,121.474,0,0,0,785.45
"IMP_S",1.965,0.109,0.139,0.002,0.024,0.015,0.208,0.042,5.917,0.375,0.725,1.034,2.73,4.018,2.825,1.282,0.652,1.03,1.203,0.495,3.652,2.607,3.228,3.16,0.136,0.578,4.827,3.481,1.126,8.566,11.791,1.525,0.404,0.564,0.744,0.084,2.406,1.866,3.035,5.598,3.205,0.88,3.641,3.412,4.701,0.754,10.282,0.777,1.258,0,48.483,0.036,0.924,19.985,0.39,65.091,0,0,0,247.989
"IMP_T",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IMP_OTHER",3.587,1.269,6.156,0.041,0.462,0.306,3.924,0.838,-34.481,45.341,10.164,39.725,932.804,255.327,60.552,94.757,25.724,55.787,71.054,22.66,250.494,175.664,187.217,637.535,8.422,37.436,242.591,716.145,28.803,244.874,317.188,41.443,34.576,19.086,15.281,3.881,51.578,31.933,42.525,80.385,54.886,19.749,89.049,59.515,98.608,23.646,209.058,21.85,43.169,0,2337.818,0.338,17.145,769.989,41.664,226.085,0,0,0,8775.62
"TXS_INT_FNL",1708.829,106.112,335.636,2.675,34.683,15.31,202.747,133.45,9762.041,816.644,663.978,2990.274,1214.784,3721.574,1021.218,3001.43,1261.449,3638.855,2772.995,3091.219,2926.556,4048.674,6669.875,8239.261,696.821,617.453,7222.135,3422.748,1753.531,16207.26,19011.7,2742.233,536.257,158.53,1598.114,281.852,7764.758,2104.338,3110.793,3986.709,4746.057,2987.833,4940.406,2586.272,5739.325,1696.848,9625.809,1290.609,2628.666,0,106308.893,1455.896,12801.746,64309.245,1069.43,0,608.169,7316.847,0,359707.554
"TTL_INT_FNL",48236.968,2489.185,5410.968,52.162,719.72,268.876,4022.095,1134.842,183103.875,18437.297,12664.685,60068.197,141075.046,144467.883,47562.565,76048.535,28750.653,210749.026,69533.268,60412.113,98300.195,98313.189,182238.053,285905.586,13836.944,21972.893,167489.416,175089.775,42111.851,290332.703,370038.266,53040.981,30579.911,16020.233,31447.196,4382.104,115470.572,43389.04,115602.303,87436.851,110590.667,120542.763,131918.568,71189.393,119698.838,33644.512,195777.362,26489.4,54665.349,0,2287159.662,63902.384,918963.428,1116882.699,16815.066,3309.968,6705.454,901574.447,0,9538035.981
"VALU",29050.767,1950.481,4917.214,469.462,469.93,1532.117,680.123,630.167,88257.526,10228.141,10315.724,30953.285,20050.472,47216.24,25623.729,36828.161,21643.666,58375.393,24435.245,38039.94,66555.471,50532.472,123522.584,91143.941,4295.85,7505.428,99688.089,27668.191,64523.662,212236.103,542777.983,104628.746,9533.416,3830.318,50369.154,7687.695,58566.563,34043.017,73175.668,102057.155,179401.198,451430.689,186434.222,120146.351,200339.976,134044.476,317060.901,39623.239,57976.024,0,0,0,0,0,0,0,0,0,0,3872466.363
"OUTPUT",77287.735,4439.666,10328.182,521.625,1189.65,1800.994,4702.218,1765.009,271361.401,28665.438,22980.409,91021.482,161125.518,191684.122,73186.294,112876.696,50394.318,269124.419,93968.514,98452.053,164855.667,148845.66,305760.637,377049.527,18132.794,29478.321,267177.505,202757.967,106635.513,502568.805,912816.249,157669.727,40113.326,19850.551,81816.35,12069.8,174037.134,77432.057,188777.971,189494.006,289991.865,571973.452,318352.79,191335.744,320038.814,167688.988,512838.263,66112.638,112641.373,0,0,0,0,0,0,0,0,0,0,8095189.235
