"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","..","TOTAL"
"IMP_M",80.025,0.856,8.999,4.02,5.21,5.879,2.34,0.927,234.488,19.519,0.679,7.407,15.729,35.825,5.563,4.022,8.339,2.593,2.395,2.135,46.699,11.43,4.619,10.389,2.99,6.353,9.308,47.419,11.272,385.032,453.37,13.719,3.357,10.867,29.583,2.428,22.531,15.324,79.197,40.901,201.419,59.519,207.396,117.205,194.665,31.431,18.307,44.457,15.72,0,875.697,38.355,269.029,481.875,4.357,33.593,0,0,0,4246.765
"IMP_N",45.345,1.936,10.179,5.75,7.945,7.835,3.929,0.624,211.736,16.984,0.904,9.078,12.774,29.081,4.753,3.578,9.072,1.918,2.316,1.981,22.097,8.582,4.276,6.827,0.548,5.253,9.728,48.944,14.03,221.787,508.272,32.225,10.951,58.412,64.699,8.055,38.227,16.767,101.638,44.593,206.951,69.757,99.749,345.289,225.221,65.548,24.452,77.596,16.151,0,517.139,3.439,184.795,32,0.909,59.845,0,0,0,3542.472
"IMP_O",1.051,0.027,0.183,0.043,0.048,0.058,0.027,0.005,3.863,0.193,0.02,0.112,0.284,0.814,0.077,0.077,0.103,0.043,0.055,0.028,1.265,0.172,0.071,0.097,0.03,0.082,0.143,0.441,0.114,2.607,5.353,0.336,0.219,0.389,0.772,0.069,0.321,0.205,1.245,1.428,2.366,0.5,1.09,1.766,2.017,0.417,0.289,0.51,0.163,0,13.479,0.201,7.505,2.746,0.28,11.745,0,0,0,67.544
"IMP_P",0.583,0.018,0.138,0.059,0.047,0.05,0.021,0.009,2.221,0.171,0.01,0.154,0.241,0.569,0.098,0.078,0.064,0.027,0.025,0.017,0.698,0.151,0.052,0.185,0.01,0.073,0.097,0.341,0.068,1.329,3.761,0.186,0.209,0.266,0.424,0.052,0.163,0.123,1.222,1.445,1.642,0.217,1.292,1,2.621,0.325,0.283,0.381,0.115,0,9.934,2.698,7.285,6.022,0.09,266.923,0,0,0,316.282
"IMP_Q",0.847,0.019,0.296,0.034,0.027,0.059,0.022,0.003,1.391,0.172,0.008,0.078,0.607,0.937,0.07,0.064,0.087,0.099,0.049,0.051,4.654,0.378,0.137,0.154,0.013,0.067,0.153,0.388,0.062,2.257,2.211,0.484,0.068,0.451,0.218,0.031,0.105,0.065,0.936,0.32,0.405,0.115,0.335,0.61,0.777,0.17,0.278,0.186,0.127,0,8.822,0.119,1.368,4.637,0.72,67.515,0,0,0,104.251
"IMP_R",0.521,0.01,0.079,0.021,0.026,0.033,0.014,0.002,2.132,0.107,0.006,0.054,0.099,0.315,0.056,0.03,0.049,0.015,0.016,0.015,0.611,0.083,0.037,0.053,0.005,0.03,0.075,0.194,0.054,1.243,2.526,0.135,0.029,0.164,0.211,0.029,0.387,0.862,0.562,0.275,0.813,0.253,0.827,1.225,1.403,0.354,0.22,5.538,0.129,0,131.501,2.861,31.115,3.412,0.13,144.987,0,0,0,335.934
"IMP_S",0.538,0.007,0.079,0.015,0.012,0.02,0.008,0.001,1.701,0.089,0.011,0.043,0.168,0.389,0.045,0.033,0.039,0.029,0.02,0.015,1.443,0.127,0.043,0.052,0.008,0.035,0.08,0.223,0.029,0.962,1.143,0.113,0.023,0.128,0.135,0.014,0.107,0.041,0.399,0.25,0.33,0.075,0.208,0.333,0.386,0.095,0.158,0.111,0.059,0,6.37,0.02,1.178,1.736,0.21,77.664,0,0,0,97.553
"IMP_T",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IMP_OTHER",46.907,1.396,24.59,2.29,1.409,4.159,1.521,0.159,54.931,9.515,0.54,3.951,93.647,60.406,2,3.28,6.331,5.601,5.472,1.887,72.151,11.838,3.945,13.841,1.324,4.537,6.515,43.049,2.393,110.438,116.185,41.142,6.406,37.501,11.139,1.685,5.758,1.547,16.786,5.363,11.171,3.085,7.651,15.423,28.676,4.903,6.975,5.759,4.877,0,468.799,0.037,78.515,227.439,39.89,270.332,0,0,0,2017.069
"TXS_INT_FNL",576.707,18.659,319.669,23.889,15.785,49.082,18.879,1.925,112.696,67.175,10.902,38.999,17.459,54.206,12.972,34.106,62.806,29.992,16.432,8.271,95.463,55.394,19.307,47.48,2.437,16.532,48.814,-33.374,35.916,960.807,1460.615,572.708,7.396,22.883,152.296,25.9,180.565,22.948,175.451,59.626,224.532,71.834,118.293,207.58,461.896,85.284,68.512,106.962,66.668,0,13397.402,26.179,2059.291,2902.169,255.842,0,36.448,806.489,0,26315.154
"TTL_INT_FNL",25351.843,2519.5,3985.407,643.012,416.52,1001.6,368.946,34.246,86748.19,3268.681,1047.561,1747.458,9789.599,16342.604,669.035,1392.588,2163.161,2046.56,1762.164,697.204,15954.427,2559.135,1070.412,2117.448,383.936,1077.546,1945.647,13183.94,1292.068,34511.823,43249.842,5226.448,1141.114,3629.906,3264.802,463.822,5664.373,822.047,7932.399,1954.766,10929.502,4388.811,3836.569,7330.733,10706.105,2647.732,2331.569,3508.852,2122.519,0,301541.24,1535.511,60724.754,96171.592,4136.089,3950.527,599.794,110858.581,0,936762.261
"VALU",26608.096,4133.447,4521.741,1203.744,927.488,1686.515,879.064,28.534,35969.97,1871.318,542.046,959.958,1790.362,7864.564,635.25,668.176,1623.49,682.541,693.808,510.871,6009.13,894.772,758.364,641.07,184.731,537.944,2293.149,10602.238,1902.02,27070.565,66828.941,7332.581,865.215,1546.966,3537.065,546.664,6639.134,1031.278,10702.247,3199.802,37284.215,24045.968,5698.987,15424.147,18765.668,14754.805,6814.284,4673.228,3966.543,0,0,0,0,0,0,0,0,0,0,378352.705
"OUTPUT",51959.939,6652.947,8507.148,1846.756,1344.008,2688.115,1248.01,62.779,122718.16,5139.999,1589.607,2707.416,11579.96,24207.168,1304.286,2060.764,3786.651,2729.101,2455.972,1208.076,21963.557,3453.908,1828.777,2758.518,568.667,1615.49,4238.795,23786.178,3194.088,61582.388,110078.783,12559.029,2006.329,5176.873,6801.867,1010.486,12303.507,1853.324,18634.646,5154.569,48213.717,28434.779,9535.556,22754.88,29471.773,17402.537,9145.853,8182.08,6089.063,0,0,0,0,0,0,0,0,0,0,735596.878
