"Reporter","ReporterName","Partner","PartnerName","Year","TL","TrfLineDescription","TLS","Duty Type","Duty Code","AV Duty Rate","Specific Duty Rate","DutyTypeDescription","Duty Nature","AvMethod","Note"
"036","Australia","000"," World",2023,2042300,"-- Boneless",,0,2,0,"","MFN applied duty rates","A","",
"036","Australia","000"," World",2023,2043000,"- Carcasses and half-carcasses of lamb, frozen",,0,2,0,"","MFN applied duty rates","A","",
"036","Australia","000"," World",2023,2044100,"-- Carcasses and half-carcasses",,0,2,0,"","MFN applied duty rates","A","",
"036","Australia","000"," World",2023,2044200,"-- Other cuts with bone in",,0,2,0,"","MFN applied duty rates","A","",
"036","Australia","000"," World",2023,2044300,"-- Boneless",,0,2,0,"","MFN applied duty rates","A","",
"036","Australia","000"," World",2023,2045000,"- Meat of goats",,0,2,0,"","MFN applied duty rates","A","",
"036","Australia","000"," World",2023,2050000,"MEAT OF HORSES, ASSES, MULES OR HINNIES, FRESH, CHILLED OR FROZEN",,0,2,0,"","MFN applied duty rates","A","",
"036","Australia","000"," World",2023,2061000,"- Of bovine animals, fresh or chilled",,0,2,0,"","MFN applied duty rates","A","",
"036","Australia","000"," World",2023,2062100,"-- Tongues",,0,2,0,"","MFN applied duty rates","A","",
"036","Australia","000"," World",2023,2062200,"-- Livers",,0,2,0,"","MFN applied duty rates","A","",
"036","Australia","000"," World",2023,2062900,"-- Other",,0,2,0,"","MFN applied duty rates","A","",
"036","Australia","000"," World",2023,2063000,"- Of swine, fresh or chilled",,0,2,0,"","MFN applied duty rates","A","",
"036","Australia","000"," World",2023,2064100,"-- Livers",,0,2,0,"","MFN applied duty rates","A","",
"036","Australia","000"," World",2023,2064900,"-- Other",,0,2,0,"","MFN applied duty rates","A","",
"036","Australia","000"," World",2023,2068000,"- Other, fresh or chilled",,0,2,0,"","MFN applied duty rates","A","",
"036","Australia","000"," World",2023,2069000,"- Other, frozen",,0,2,0,"","MFN applied duty rates","A","",
"036","Australia","000"," World",2023,2071100,"-- Not cut in pieces, fresh or chilled",,0,2,0,"","MFN applied duty rates","A","",
"036","Australia","000"," World",2023,2071200,"-- Not cut in pieces, frozen",,0,2,0,"","MFN applied duty rates","A","",
"036","Australia","000"," World",2023,2071300,"-- Cuts and offal, fresh or chilled",,0,2,0,"","MFN applied duty rates","A","",
"036","Australia","000"," World",2023,2071400,"-- Cuts and offal, frozen",,0,2,0,"","MFN applied duty rates","A","",
"036","Australia","000"," World",2023,2072400,"-- Not cut in pieces, fresh or chilled",,0,2,0,"","MFN applied duty rates","A","",
"036","Australia","000"," World",2023,2072500,"-- Not cut in pieces, frozen",,0,2,0,"","MFN applied duty rates","A","",
"036","Australia","000"," World",2023,2072600,"-- Cuts and offal, fresh or chilled",,0,2,0,"","MFN applied duty rates","A","",
"036","Australia","000"," World",2023,2072700,"-- Cuts and offal, frozen",,0,2,0,"","MFN applied duty rates","A","",
"036","Australia","000"," World",2023,2074100,"-- Not cut in pieces, fresh or chilled",,0,2,0,"","MFN applied duty rates","A","",
"036","Australia","000"," World",2023,2074200,"-- Not cut in pieces, frozen",,0,2,0,"","MFN applied duty rates","A","",
"036","Australia","000"," World",2023,2074300,"-- Fatty livers, fresh or chilled",,0,2,0,"","MFN applied duty rates","A","",
"036","Australia","000"," World",2023,2074400,"-- Other, fresh or chilled",,0,2,0,"","MFN applied duty rates","A","",
"036","Australia","000"," World",2023,2074500,"-- Other, frozen",,0,2,0,"","MFN applied duty rates","A","",
"036","Australia","000"," World",2023,2075100,"-- Not cut in pieces, fresh or chilled",,0,2,0,"","MFN applied duty rates","A","",
"036","Australia","000"," World",2023,2075200,"-- Not cut in pieces, frozen",,0,2,0,"","MFN applied duty rates","A","",
"036","Australia","000"," World",2023,2075300,"-- Fatty livers, fresh or chilled",,0,2,0,"","MFN applied duty rates","A","",
"036","Australia","000"," World",2023,2075400,"-- Other, fresh or chilled",,0,2,0,"","MFN applied duty rates","A","",
"036","Australia","000"," World",2023,2075500,"-- Other, frozen",,0,2,0,"","MFN applied duty rates","A","",
"036","Australia","000"," World",2023,2076000,"- Of guinea fowls",,0,2,0,"","MFN applied duty rates","A","",
"036","Australia","000"," World",2023,2081000,"- Of rabbits or hares",,0,2,0,"","MFN applied duty rates","A","",
"036","Australia","000"," World",2023,2083000,"- Of primates",,0,2,0,"","MFN applied duty rates","A","",
"036","Australia","000"," World",2023,2084000,"- Of whales, dolphins and porpoises (mammals of the order Cetacea); of manatees and dugongs (mammals of the order Sirenia); of seals, sea lions and walruses (mammals of the suborder Pinnipedia)",,0,2,0,"","MFN applied duty rates","A","",
"036","Australia","000"," World",2023,2085000,"- Of reptiles (including snakes and turtles)",,0,2,0,"","MFN applied duty rates","A","",
"036","Australia","000"," World",2023,2086000,"- Of camels and other camelids (Camelidae)",,0,2,0,"","MFN applied duty rates","A","",
"036","Australia","000"," World",2023,2089000,"- Other",,0,2,0,"","MFN applied duty rates","A","",
"036","Australia","000"," World",2023,2091000,"- Of pigs",,0,2,0,"","MFN applied duty rates","A","",
"036","Australia","000"," World",2023,2099000,"- Other",,0,2,0,"","MFN applied duty rates","A","",
"036","Australia","000"," World",2023,2101100,"-- Hams, shoulders and cuts thereof, with bone in",,0,2,0,"","MFN applied duty rates","A","",
"036","Australia","000"," World",2023,2101200,"-- Bellies (streaky) and cuts thereof",,0,2,0,"","MFN applied duty rates","A","",
"036","Australia","000"," World",2023,2101900,"-- Other",,0,2,0,"","MFN applied duty rates","A","",
"036","Australia","000"," World",2023,2102000,"- Meat of bovine animals",,0,2,0,"","MFN applied duty rates","A","",
"036","Australia","000"," World",2023,2109100,"-- Of primates",,0,2,0,"","MFN applied duty rates","A","",
"036","Australia","000"," World",2023,2109200,"-- Of whales, dolphins and porpoises (mammals of the order Cetacea); of manatees and dugongs (mammals of the order Sirenia); of seals, sea lions and walruses (mammals of the suborder Pinnipedia)",,0,2,0,"","MFN applied duty rates","A","",
"036","Australia","000"," World",2023,2109300,"-- Of reptiles (including snakes and turtles)",,0,2,0,"","MFN applied duty rates","A","",
"036","Australia","000"," World",2023,2109900,"-- Other",,0,2,0,"","MFN applied duty rates","A","",
"036","Australia","000"," World",2023,3011100,"-- Freshwater",,0,2,0,"","MFN applied duty rates","A","",
"036","Australia","000"," World",2023,3011900,"-- Other",,0,2,0,"","MFN applied duty rates","A","",
"036","Australia","000"," World",2023,3019100,"-- Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)",,0,2,0,"","MFN applied duty rates","A","",
"036","Australia","000"," World",2023,3019200,"-- Eels (Anguilla spp.)",,0,2,0,"","MFN applied duty rates","A","",
"036","Australia","000"," World",2023,3019300,"-- Carp (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.)",,0,2,0,"","MFN applied duty rates","A","",
"036","Australia","000"," World",2023,3019400,"-- Atlantic and Pacific bluefin tunas (Thunnus thynnus, Thunnus orientalis)",,0,2,0,"","MFN applied duty rates","A","",
"036","Australia","000"," World",2023,3019500,"-- Southern bluefin tunas (Thunnus maccoyii)",,0,2,0,"","MFN applied duty rates","A","",
"036","Australia","000"," World",2023,3019900,"-- Other",,0,2,0,"","MFN applied duty rates","A","",
"036","Australia","000"," World",2023,3021100,"-- Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)",,0,2,0,"","MFN applied duty rates","A","",
"036","Australia","000"," World",2023,3021300,"-- Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhunchus rhodurus)",,0,2,0,"","MFN applied duty rates","A","",
"036","Australia","000"," World",2023,3021400,"-- Atlantic slamon (Salmo salar) and Danube Salmon (Hucho hucho)",,0,2,0,"","MFN applied duty rates","A","",
"036","Australia","000"," World",2023,3021900,"-- Other",,0,2,0,"","MFN applied duty rates","A","",
"036","Australia","000"," World",2023,3022100,"-- Halibut (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis)",,0,2,0,"","MFN applied duty rates","A","",
"036","Australia","000"," World",2023,3022200,"-- Plaice (Pleuronectes platessa)",,0,2,0,"","MFN applied duty rates","A","",
"036","Australia","000"," World",2023,3022300,"-- Sole (Solea spp.)",,0,2,0,"","MFN applied duty rates","A","",
"036","Australia","000"," World",2023,3022400,"-- Turbots (Psetta maxima)",,0,2,0,"","MFN applied duty rates","A","",
"036","Australia","000"," World",2023,3022900,"-- Other",,0,2,0,"","MFN applied duty rates","A","",
"036","Australia","000"," World",2023,3023100,"-- Albacore or longfinned tunas (Thunnus alalunga)",,0,2,0,"","MFN applied duty rates","A","",
"036","Australia","000"," World",2023,3023200,"-- Yellowfin tunas (Thunnus albacares)",,0,2,0,"","MFN applied duty rates","A","",
"036","Australia","000"," World",2023,3023300,"-- Skipjack tuna (strip-bellied bonito) (Katsuwonus pelamis)",,0,2,0,"","MFN applied duty rates","A","",
"036","Australia","000"," World",2023,3023400,"-- Bigeye tunas (Thunnus obesus)",,0,2,0,"","MFN applied duty rates","A","",
"036","Australia","000"," World",2023,3023500,"-- Atlantic and Pacific bluefin tunas (Thunnus thynnus, Thunnus orientalis)",,0,2,0,"","MFN applied duty rates","A","",
"036","Australia","000"," World",2023,3023600,"-- Southern bluefin tunas (Thunnus maccoyii)",,0,2,0,"","MFN applied duty rates","A","",
"036","Australia","000"," World",2023,3023900,"-- Other",,0,2,0,"","MFN applied duty rates","A","",
"036","Australia","000"," World",2023,3024100,"-- Herrings (Clupea harengus, Clupea pallasii)",,0,2,0,"","MFN applied duty rates","A","",
"036","Australia","000"," World",2023,3024200,"-- Anchovies (Engraulis spp.)",,0,2,0,"","MFN applied duty rates","A","",
"036","Australia","000"," World",2023,3024300,"-- Sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus)",,0,2,0,"","MFN applied duty rates","A","",
"036","Australia","000"," World",2023,3024400,"-- Mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus)",,0,2,0,"","MFN applied duty rates","A","",
"036","Australia","000"," World",2023,3024500,"-- Jack and horse mackerel (Trachurus spp.)",,0,2,0,"","MFN applied duty rates","A","",
"036","Australia","000"," World",2023,3024600,"-- Cobia (Rachycentron canadum)",,0,2,0,"","MFN applied duty rates","A","",
"036","Australia","000"," World",2023,3024700,"-- Swordfish (Xiphias gladius)",,0,2,0,"","MFN applied duty rates","A","",
"036","Australia","000"," World",2023,3024900,"-- Other",,0,2,0,"","MFN applied duty rates","A","",
"036","Australia","000"," World",2023,3025100,"-- Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)",,0,2,0,"","MFN applied duty rates","A","",
"036","Australia","000"," World",2023,3025200,"-- Haddock (Melanogrammus aeglefinus)",,0,2,0,"","MFN applied duty rates","A","",
"036","Australia","000"," World",2023,3025300,"-- Coalfish (Pollachius virens)",,0,2,0,"","MFN applied duty rates","A","",
"036","Australia","000"," World",2023,3025400,"-- Hake (Merluccius spp., urophycis spp.)",,0,2,0,"","MFN applied duty rates","A","",
