"Reporter","ReporterName","Partner","PartnerName","Year","TL","TLS","Duty Type","Duty Code","AV Duty Rate","Specific Duty Rate"
"894","Zambia","000"," World",2016,2109200,,0,2,25,""
"894","Zambia","000"," World",2016,2109300,,0,2,25,""
"894","Zambia","000"," World",2016,2109900,,0,2,25,""
"894","Zambia","000"," World",2016,3011100,,0,2,25,""
"894","Zambia","000"," World",2016,3011900,,0,2,25,""
"894","Zambia","000"," World",2016,3019100,,0,2,25,""
"894","Zambia","000"," World",2016,3019200,,0,2,25,""
"894","Zambia","000"," World",2016,3019300,,0,2,25,""
"894","Zambia","000"," World",2016,3019400,,0,2,25,""
"894","Zambia","000"," World",2016,3019500,,0,2,25,""
"894","Zambia","000"," World",2016,3019900,,0,2,25,""
"894","Zambia","000"," World",2016,3021100,,0,2,25,""
"894","Zambia","000"," World",2016,3021300,,0,2,25,""
"894","Zambia","000"," World",2016,3021400,,0,2,25,""
"894","Zambia","000"," World",2016,3021900,,0,2,25,""
"894","Zambia","000"," World",2016,3022100,,0,2,25,""
"894","Zambia","000"," World",2016,3022200,,0,2,25,""
"894","Zambia","000"," World",2016,3022300,,0,2,25,""
"894","Zambia","000"," World",2016,3022400,,0,2,25,""
"894","Zambia","000"," World",2016,3022900,,0,2,25,""
"894","Zambia","000"," World",2016,3023100,,0,2,25,""
"894","Zambia","000"," World",2016,3023200,,0,2,25,""
"894","Zambia","000"," World",2016,3023300,,0,2,25,""
"894","Zambia","000"," World",2016,3023400,,0,2,25,""
"894","Zambia","000"," World",2016,3023500,,0,2,25,""
"894","Zambia","000"," World",2016,3023600,,0,2,25,""
"894","Zambia","000"," World",2016,3023900,,0,2,25,""
"894","Zambia","000"," World",2016,3024100,,0,2,25,""
"894","Zambia","000"," World",2016,3024200,,0,2,25,""
"894","Zambia","000"," World",2016,3024300,,0,2,25,""
"894","Zambia","000"," World",2016,3024400,,0,2,25,""
"894","Zambia","000"," World",2016,3024500,,0,2,25,""
"894","Zambia","000"," World",2016,3024600,,0,2,25,""
"894","Zambia","000"," World",2016,3024700,,0,2,25,""
"894","Zambia","000"," World",2016,3025100,,0,2,25,""
"894","Zambia","000"," World",2016,3025200,,0,2,25,""
"894","Zambia","000"," World",2016,3025300,,0,2,25,""
"894","Zambia","000"," World",2016,3025400,,0,2,25,""
"894","Zambia","000"," World",2016,3025500,,0,2,25,""
"894","Zambia","000"," World",2016,3025600,,0,2,25,""
"894","Zambia","000"," World",2016,3025900,,0,2,25,""
"894","Zambia","000"," World",2016,3027100,,0,2,25,""
"894","Zambia","000"," World",2016,3027200,,0,2,25,""
"894","Zambia","000"," World",2016,3027300,,0,2,25,""
"894","Zambia","000"," World",2016,3027400,,0,2,25,""
"894","Zambia","000"," World",2016,3027900,,0,2,25,""
"894","Zambia","000"," World",2016,3028100,,0,2,25,""
"894","Zambia","000"," World",2016,3028200,,0,2,25,""
"894","Zambia","000"," World",2016,3028300,,0,2,25,""
"894","Zambia","000"," World",2016,3028400,,0,2,25,""
"894","Zambia","000"," World",2016,3028500,,0,2,25,""
"894","Zambia","000"," World",2016,3028900,,0,2,25,""
"894","Zambia","000"," World",2016,3029000,,0,2,25,""
"894","Zambia","000"," World",2016,3031100,,0,2,25,""
"894","Zambia","000"," World",2016,3031200,,0,2,25,""
"894","Zambia","000"," World",2016,3031300,,0,2,25,""
"894","Zambia","000"," World",2016,3031400,,0,2,25,""
"894","Zambia","000"," World",2016,3031900,,0,2,25,""
"894","Zambia","000"," World",2016,3032300,,0,2,25,""
"894","Zambia","000"," World",2016,3032400,,0,2,25,""
"894","Zambia","000"," World",2016,3032500,,0,2,25,""
"894","Zambia","000"," World",2016,3032600,,0,2,25,""
"894","Zambia","000"," World",2016,3032900,,0,2,25,""
"894","Zambia","000"," World",2016,3033100,,0,2,25,""
"894","Zambia","000"," World",2016,3033200,,0,2,25,""
"894","Zambia","000"," World",2016,3033300,,0,2,25,""
"894","Zambia","000"," World",2016,3033400,,0,2,25,""
"894","Zambia","000"," World",2016,3033900,,0,2,25,""
"894","Zambia","000"," World",2016,3034100,,0,2,25,""
"894","Zambia","000"," World",2016,3034200,,0,2,25,""
"894","Zambia","000"," World",2016,3034300,,0,2,25,""
"894","Zambia","000"," World",2016,3034400,,0,2,25,""
"894","Zambia","000"," World",2016,3034500,,0,2,25,""
"894","Zambia","000"," World",2016,3034600,,0,2,25,""
"894","Zambia","000"," World",2016,3034900,,0,2,25,""
"894","Zambia","000"," World",2016,3035100,,0,2,25,""
"894","Zambia","000"," World",2016,3035300,,0,2,25,""
"894","Zambia","000"," World",2016,3035400,,0,2,25,""
"894","Zambia","000"," World",2016,3035500,,0,2,25,""
"894","Zambia","000"," World",2016,3035600,,0,2,25,""
"894","Zambia","000"," World",2016,3035700,,0,2,25,""
"894","Zambia","000"," World",2016,3036300,,0,2,25,""
"894","Zambia","000"," World",2016,3036400,,0,2,25,""
"894","Zambia","000"," World",2016,3036500,,0,2,25,""
"894","Zambia","000"," World",2016,3036600,,0,2,25,""
"894","Zambia","000"," World",2016,3036700,,0,2,25,""
"894","Zambia","000"," World",2016,3036800,,0,2,25,""
"894","Zambia","000"," World",2016,3036900,,0,2,25,""
"894","Zambia","000"," World",2016,3038100,,0,2,25,""
"894","Zambia","000"," World",2016,3038200,,0,2,25,""
"894","Zambia","000"," World",2016,3038300,,0,2,25,""
"894","Zambia","000"," World",2016,3038400,,0,2,25,""
"894","Zambia","000"," World",2016,3038900,,0,2,25,""
"894","Zambia","000"," World",2016,3039000,,0,2,25,""
"894","Zambia","000"," World",2016,3043100,,0,2,25,""
"894","Zambia","000"," World",2016,3043200,,0,2,25,""
"894","Zambia","000"," World",2016,3043300,,0,2,25,""
"894","Zambia","000"," World",2016,3043900,,0,2,25,""
"894","Zambia","000"," World",2016,3044100,,0,2,25,""
"894","Zambia","000"," World",2016,3044200,,0,2,25,""
"894","Zambia","000"," World",2016,3044300,,0,2,25,""
"894","Zambia","000"," World",2016,3044400,,0,2,25,""
"894","Zambia","000"," World",2016,3044500,,0,2,25,""
"894","Zambia","000"," World",2016,3044600,,0,2,25,""
"894","Zambia","000"," World",2016,3044900,,0,2,25,""
"894","Zambia","000"," World",2016,3045100,,0,2,25,""
"894","Zambia","000"," World",2016,3045200,,0,2,25,""
"894","Zambia","000"," World",2016,3045300,,0,2,25,""
"894","Zambia","000"," World",2016,3045400,,0,2,25,""
"894","Zambia","000"," World",2016,3045500,,0,2,25,""
"894","Zambia","000"," World",2016,3045900,,0,2,25,""
"894","Zambia","000"," World",2016,3046100,,0,2,25,""
"894","Zambia","000"," World",2016,3046200,,0,2,25,""
"894","Zambia","000"," World",2016,3046300,,0,2,25,""
"894","Zambia","000"," World",2016,3046900,,0,2,25,""
"894","Zambia","000"," World",2016,3047100,,0,2,25,""
"894","Zambia","000"," World",2016,3047200,,0,2,25,""
"894","Zambia","000"," World",2016,3047300,,0,2,25,""
"894","Zambia","000"," World",2016,3047400,,0,2,25,""
"894","Zambia","000"," World",2016,3047500,,0,2,25,""
"894","Zambia","000"," World",2016,3047900,,0,2,25,""
"894","Zambia","000"," World",2016,3048100,,0,2,25,""
"894","Zambia","000"," World",2016,3048200,,0,2,25,""
"894","Zambia","000"," World",2016,3048300,,0,2,25,""
"894","Zambia","000"," World",2016,3048400,,0,2,25,""
