"Reporter","ReporterName","Partner","PartnerName","Year","TL","TrfLineDescription","TLS","Duty Type","Duty Code","AV Duty Rate","Specific Duty Rate"
"918","European Union","000"," World",2023,2012020,"-- 'Compensated' quarters",,0,2,,"12.8 % + 176.8 EUR/100 kg"
"918","European Union","000"," World",2023,2012030,"-- Unseparated or separated forequarters",,0,2,,"12.8 % + 141.4 EUR/100 kg"
"918","European Union","000"," World",2023,2012050,"-- Unseparated or separated hindquarters",,0,2,,"12.8 % + 212.2 EUR/100 kg"
"918","European Union","000"," World",2023,2012090,"-- Other",,0,2,,"12.8 % + 265.2 EUR/100 kg"
"918","European Union","000"," World",2023,2013000,"- Boneless",,0,2,,"12.8 % + 303.4 EUR/100 kg"
"918","European Union","000"," World",2023,2021000,"- Carcases and half-carcases",,0,2,,"12.8 % + 176.8 EUR/100 kg"
"918","European Union","000"," World",2023,2022010,"-- 'Compensated' quarters",,0,2,,"12.8 % + 176.8 EUR/100 kg"
"918","European Union","000"," World",2023,2022030,"-- Unseparated or separated forequarters",,0,2,,"12.8 % + 141.4 EUR/100 kg"
"918","European Union","000"," World",2023,2022050,"-- Unseparated or separated hindquarters",,0,2,,"12.8 % + 221.1 EUR/100 kg"
"918","European Union","000"," World",2023,2022090,"-- Other",,0,2,,"12.8 % + 265.3 EUR/100 kg"
"918","European Union","000"," World",2023,2023010,"-- Forequarters, whole or cut into a maximum of five pieces, each quarter being in a single block; 'compensated' quarters in two blocks, one of which contains the forequarter, whole or cut into a maximum of five pieces, and the other, the hindquarter, excluding the tenderloin, in one piece",,0,2,,"12.8 % + 221.1 EUR/100 kg"
"918","European Union","000"," World",2023,2023050,"-- Crop, chuck-and-blade and brisket cuts",,0,2,,"12.8 % + 221.1 EUR/100 kg"
"918","European Union","000"," World",2023,2023090,"-- Other",,0,2,,"12.8 % + 304.1 EUR/100 kg"
"918","European Union","000"," World",2023,2031110,"--- Of domestic swine",,0,2,,"53.6 EUR/100 kg"
"918","European Union","000"," World",2023,2031190,"--- Other",,0,2,0,""
"918","European Union","000"," World",2023,2031211,"---- Hams and cuts thereof",,0,2,,"77.8 EUR/100 kg"
"918","European Union","000"," World",2023,2031219,"---- Shoulders and cuts thereof",,0,2,,"60.1 EUR/100 kg"
"918","European Union","000"," World",2023,2031290,"--- Other",,0,2,0,""
"918","European Union","000"," World",2023,2031911,"---- Fore-ends and cuts thereof",,0,2,,"60.1 EUR/100 kg"
"918","European Union","000"," World",2023,2031913,"---- Loins and cuts thereof, with bone in",,0,2,,"86.9 EUR/100 kg"
"918","European Union","000"," World",2023,2031915,"---- Bellies (streaky) and cuts thereof",,0,2,,"46.7 EUR/100 kg"
"918","European Union","000"," World",2023,2031955,"----- Boneless",,0,2,,"86.9 EUR/100 kg"
"918","European Union","000"," World",2023,2031959,"----- Other",,0,2,,"86.9 EUR/100 kg"
"918","European Union","000"," World",2023,2031990,"--- Other",,0,2,0,""
"918","European Union","000"," World",2023,2032110,"--- Of domestic swine",,0,2,,"53.6 EUR/100 kg"
"918","European Union","000"," World",2023,2032190,"--- Other",,0,2,0,""
"918","European Union","000"," World",2023,2032211,"---- Hams and cuts thereof",,0,2,,"77.8 EUR/100 kg"
"918","European Union","000"," World",2023,2032219,"---- Shoulders and cuts thereof",,0,2,,"60.1 EUR/100 kg"
"918","European Union","000"," World",2023,2032290,"--- Other",,0,2,0,""
"918","European Union","000"," World",2023,2032911,"---- Fore-ends and cuts thereof",,0,2,,"60.1 EUR/100 kg"
"918","European Union","000"," World",2023,2032913,"---- Loins and cuts thereof, with bone in",,0,2,,"86.9 EUR/100 kg"
"918","European Union","000"," World",2023,2032915,"---- Bellies (streaky) and cuts thereof",,0,2,,"46.7 EUR/100 kg"
"918","European Union","000"," World",2023,2032955,"----- Boneless",,0,2,,"86.9 EUR/100 kg"
"918","European Union","000"," World",2023,2032959,"----- Other",,0,2,,"86.9 EUR/100 kg"
"918","European Union","000"," World",2023,2032990,"--- Other",,0,2,0,""
"918","European Union","000"," World",2023,2041000,"- Carcases and half-carcases of lamb, fresh or chilled",,0,2,,"12.8 % + 171.3 EUR/100 kg"
"918","European Union","000"," World",2023,2042100,"-- Carcases and half-carcases",,0,2,,"12.8 % + 171.3 EUR/100 kg"
"918","European Union","000"," World",2023,2042210,"--- Short forequarters",,0,2,,"12.8 % + 119.9 EUR/100 kg"
"918","European Union","000"," World",2023,2042230,"--- Chines and/or best ends",,0,2,,"12.8 % + 188.5 EUR/100 kg"
"918","European Union","000"," World",2023,2042250,"--- Legs",,0,2,,"12.8 % + 222.7 EUR/100 kg"
"918","European Union","000"," World",2023,2042290,"--- Other",,0,2,,"12.8 % + 222.7 EUR/100 kg"
"918","European Union","000"," World",2023,2042300,"-- Boneless",,0,2,,"12.8 % + 311.8 EUR/100 kg"
