"Reporter","ReporterName","Partner","PartnerName","Year","TL","TrfLineDescription","TLS","Duty Type","Duty Code","AV Duty Rate","Specific Duty Rate"
"392","Japan","000"," World",2023,20230030,"--Brisket and plate",,0,2,38.5,""
"392","Japan","000"," World",2023,20230090,"--Other",,0,2,38.5,""
"392","Japan","000"," World",2023,20311010,"---1 Of wild boars",,0,2,0,""
"392","Japan","000"," World",2023,20311020,"----*[1] Each kilogram, in value for customs duty, not more than the upper limit prices for the specific duty applied on pig carcass, where the upper limit prices shall be obtained by substracting Prices B from Prices A, the same definition shall be applied in this heading. Prices A: standard import prices for pig carcass specified by the subparagraph 1 of paragraph 2 of the Annex 1-3-2 to the Temporary Tariff Measures Law corresponding to the period of importation provided by the Annex, the same definition shall be applied in this heading. Prices B: the prices specified by *[1] in this subheading each corresponding to the period of importation provided by the Annex 1-3 to the Law S",,0,2,,"361yen/kg"
"392","Japan","000"," World",2023,20311031,"-----Less than 299.25 yen/kg in value for customs duty",,0,2,,"Min(361yen/kg; Per each kilogram, the difference between the standard import price of pig carcass and the value for customs duty)"
"392","Japan","000"," World",2023,20311032,"-----Not less than 299.25 yen/kg in value for customs duty",,0,2,,"Min(361yen/kg; Per each kilogram, the difference between the standard import price of pig carcass and the value for customs duty)"
"392","Japan","000"," World",2023,20311040,"----*[3] Each kilogram, more than the gate prices of pig carcass, in value for customs duty S",,0,2,4.3,""
"392","Japan","000"," World",2023,20312010,"---1 Of wild boars",,0,2,0,""
"392","Japan","000"," World",2023,20312022,"----*[3] Each kilogram, more than the gate prices of partial pig, in value for customs duty S",,0,2,4.3,""
"392","Japan","000"," World",2023,20312023,"----*[1] Each kilogram, in value for customs duty, not more than the upper limit prices for the specific duty applied on partial pig, where the upper limit prices shall be obtained by substracting Prices B from Prices A, the same definition shall be applied in this heading and in heading 02.06. Prices A: standard import prices for partial pig specified by the subparagraph 1 of paragraph 3 of the Annex 1-3-2 to the Temporary Tariff Measures Law corresponding to the period of importation provided by the Annex, the same definition shall be applied in this heading and in heading 02.06. Prices B: the prices specified by *[1] in this subheading each corresponding to the period of importation provided by the Annex 1-3 to the Law S",,0,2,,"482yen/kg"
"392","Japan","000"," World",2023,20312024,"-----Less than 399 yen/kg in value for customs duty",,0,2,,"Min(482yen/kg; Per each kilogram, the difference between the standard import price of partial pig and the value for customs duty)"
"392","Japan","000"," World",2023,20312025,"-----Not less than 399 yen/kg in value for customs duty",,0,2,,"Min(482yen/kg; Per each kilogram, the difference between the standard import price of partial pig and the value for customs duty)"
"392","Japan","000"," World",2023,20319010,"---1 Of wild boars",,0,2,0,""
"392","Japan","000"," World",2023,20319022,"----*[3] Each kilogram, more than the gate prices of partial pig, in value for customs duty S",,0,2,4.3,""
"392","Japan","000"," World",2023,20319023,"----*[1] Each kilogram, not more than the upper limit prices for the specific duty applied on partial pig, in value for customs duty S",,0,2,,"482yen/kg"
"392","Japan","000"," World",2023,20319024,"-----Less than 399 yen/kg in value for customs duty",,0,2,,"Min(482yen/kg; Per each kilogram, the difference between the standard import price of partial pig and the value for customs duty)"
"392","Japan","000"," World",2023,20319025,"-----Not less than 399 yen/kg in value for customs duty",,0,2,,"Min(482yen/kg; Per each kilogram, the difference between the standard import price of partial pig and the value for customs duty)"
"392","Japan","000"," World",2023,20321010,"---1 Of wild boars",,0,2,0,""
