country,product,dependency
AGO,Cars,0.22281801365033224
AGO,Electronics,0.11746692628109807
AGO,Energy,0.0026608608799582522
AGO,Food,0.5444320373186393
AGO,Lumber,0.007214587787273282
AGO,Steel,0.10540757408269878
ARE,Cars,0.12023458875603071
ARE,Electronics,0.4795736247215569
ARE,Energy,0.0008344107934505706
ARE,Food,0.25107808436078505
ARE,Lumber,0.011853203438687922
ARE,Steel,0.13642608792948893
ARG,Cars,0.3431110510880292
ARG,Electronics,0.2678473595029308
ARG,Energy,0.02427421904926073
ARG,Food,0.2242635437012788
ARG,Lumber,0.012674731368382985
ARG,Steel,0.12782909529011746
AUS,Cars,0.3114008316939061
AUS,Electronics,0.35590417120095946
AUS,Energy,0.0010590317281410158
AUS,Food,0.20623534696134058
AUS,Lumber,0.023161958955049747
AUS,Steel,0.10223865946060319
AUT,Cars,0.26583489443170216
AUT,Electronics,0.18634131743392848
AUT,Energy,0.08037388273672774
AUT,Food,0.24875870696923644
AUT,Lumber,0.05269677093295855
AUT,Steel,0.16599442749544666
BEL,Cars,0.252376590837929
BEL,Electronics,0.1264015586321626
BEL,Energy,0.0987206653925801
BEL,Food,0.3547407838464292
BEL,Lumber,0.03417135937431291
BEL,Steel,0.13358904191658613
BGD,Cars,0.06420897109372178
BGD,Electronics,0.1263232731919453
BGD,Energy,0.02948337157775294
BGD,Food,0.6205934884264116
BGD,Lumber,0.008402917943317772
BGD,Steel,0.15098797776685075
BGR,Cars,0.1751476981323401
BGR,Electronics,0.147044755577859
BGR,Energy,0.022393674179428242
BGR,Food,0.36277506770950835
BGR,Lumber,0.019581656283069165
BGR,Steel,0.2730571481177951
BLR,Cars,0.1080845443155621
BLR,Electronics,0.15595458684790672
BLR,Energy,0.0029849994081335347
BLR,Food,0.4697300737313254
BLR,Lumber,0.019834324270158327
BLR,Steel,0.24341147142691388
BRA,Cars,0.20827171404048894
BRA,Electronics,0.3216670533609021
BRA,Energy,0.06712659718350616
BRA,Food,0.2217405103301931
BRA,Lumber,0.009838012275623774
BRA,Steel,0.1713561128092859
BRN,Cars,0.1673429629698202
BRN,Electronics,0.12397976974039479
BRN,Energy,0.009114314132689849
BRN,Food,0.5449014458854956
BRN,Lumber,0.013975418815128876
BRN,Steel,0.14068608845647068
CAN,Cars,0.39884211193665287
CAN,Electronics,0.18253299818316224
CAN,Energy,0.021476428687302308
CAN,Food,0.22002553076683112
CAN,Lumber,0.016091131736224364
CAN,Steel,0.16103179868982714
CHE,Cars,0.2932448721306741
CHE,Electronics,0.23967872025757236
CHE,Energy,0.02688772015821061
CHE,Food,0.29211900527360185
CHE,Lumber,0.04281499329321023
CHE,Steel,0.10525468888673083
CHL,Cars,0.34614858030480344
CHL,Electronics,0.20203012821080976
CHL,Energy,0.001736999495396168
CHL,Food,0.343465350455832
CHL,Lumber,0.011855890111922724
CHL,Steel,0.09476305142123596
CHN,Cars,0.09078464339584658
CHN,Electronics,0.5081940057324088
CHN,Energy,0.0020483621174229726
CHN,Food,0.23158454146052482
CHN,Lumber,0.02177314125395219
CHN,Steel,0.1456153060398446
CIV,Cars,0.1788856681790076
CIV,Electronics,0.09770332559418952
CIV,Energy,0.00357754029485666
CIV,Food,0.591676076185901
CIV,Lumber,0.0030507295895596553
CIV,Steel,0.1251066601564856
CMR,Cars,0.13991259605086998
CMR,Electronics,0.0759000133926143
CMR,Energy,0.0013223492565270709
CMR,Food,0.6085037158791154
CMR,Lumber,0.01257168819617026
CMR,Steel,0.16178963722470294
COD,Cars,0.1535142695637853
COD,Electronics,0.17463657475413716
COD,Energy,0.003113005566769675
COD,Food,0.3793519309984447
COD,Lumber,0.012509688096681156
COD,Steel,0.2768745310201821
COL,Cars,0.16834692343286906
COL,Electronics,0.33727020833465166
COL,Energy,0.004259254615208114
COL,Food,0.3727195441107733
COL,Lumber,0.013909197932176764
COL,Steel,0.10349487157432109
CRI,Cars,0.23930348069069374
CRI,Electronics,0.19641099333999745
CRI,Energy,0.01433391874777849
CRI,Food,0.3967798076168677
CRI,Lumber,0.017071517443158737
CRI,Steel,0.13610028216150388
CYP,Cars,0.20555151459349966
CYP,Electronics,0.16987984531811065
CYP,Energy,0.008296657766319859
CYP,Food,0.4950975969063622
CYP,Lumber,0.028612466623699474
CYP,Steel,0.09256191879200809
CZE,Cars,0.3798365977522767
CZE,Electronics,0.17923509710362426
CZE,Energy,0.010736496336620797
CZE,Food,0.19559352001979663
CZE,Lumber,0.024884290444901164
CZE,Steel,0.20971399834278046
DEU,Cars,0.2413080452972644
DEU,Electronics,0.25848005928357687
DEU,Energy,0.030587981878350975
DEU,Food,0.26922239845405704
DEU,Lumber,0.02588784388526499
DEU,Steel,0.1745136712014857
DNK,Cars,0.21528308918788444
DNK,Electronics,0.24145783491738643
DNK,Energy,0.022885785041079562
DNK,Food,0.3872324819933173
DNK,Lumber,0.047588318023707894
DNK,Steel,0.08555249083662445
EGY,Cars,0.11031676515476893
EGY,Electronics,0.11295058399577482
EGY,Energy,0.0016816979903676024
EGY,Food,0.5086177536266253
EGY,Lumber,0.04568843830981928
EGY,Steel,0.2207447609226441
ESP,Cars,0.26964813616372113
ESP,Electronics,0.15748914062247643
ESP,Energy,0.025146006391383594
ESP,Food,0.37345819488905807
ESP,Lumber,0.019054005601878355
ESP,Steel,0.1552045163314824
EST,Cars,0.2002993982439838
EST,Electronics,0.18769622518799997
EST,Energy,0.007458305621498721
EST,Food,0.28519736740393276
EST,Lumber,0.13673741902340575
EST,Steel,0.18261128451917902
FIN,Cars,0.20661465818023028
FIN,Electronics,0.21748791674598536
FIN,Energy,0.030020280317968828
FIN,Food,0.22254830381584315
FIN,Lumber,0.036118678691281186
FIN,Steel,0.28721016224869117
FRA,Cars,0.28319484257149125
FRA,Electronics,0.1787066635141754
FRA,Energy,0.07102639189043991
FRA,Food,0.30304774585878774
FRA,Lumber,0.026619255162725657
FRA,Steel,0.13740510100238007
GBR,Cars,0.2583954960016215
GBR,Electronics,0.27402420348721845
GBR,Energy,0.00917214217881511
GBR,Food,0.35303882267621206
GBR,Lumber,0.03627092349623599
GBR,Steel,0.06909841215989693
GRC,Cars,0.15386683339536247
GRC,Electronics,0.1175376952793085
GRC,Energy,0.0460156906385049
GRC,Food,0.43523950750093837
GRC,Lumber,0.025838359635279213
GRC,Steel,0.22150191355060653
HKG,Cars,0.12600985600181625
HKG,Electronics,0.07817923926679957
HKG,Energy,0.05118841471348415
HKG,Food,0.6815886812597819
HKG,Lumber,0.014754151466620402
HKG,Steel,0.04827965729149767
HRV,Cars,0.19800243004716817
HRV,Electronics,0.1315078198683049
HRV,Energy,0.07595621879083597
HRV,Food,0.4131371879588099
HRV,Lumber,0.029550224796791296
HRV,Steel,0.15184611853808977
HUN,Cars,0.26266123790484003
HUN,Electronics,0.22897158058685174
HUN,Energy,0.15942533006094914
HUN,Food,0.19510689635553605
HUN,Lumber,0.02528265442735664
HUN,Steel,0.12855230066446638
IDN,Cars,0.1224878255033762
IDN,Electronics,0.25988894392749323
IDN,Energy,0.0014069921003901677
IDN,Food,0.3626292481454768
IDN,Lumber,0.008271687038479601
IDN,Steel,0.245315303284784
IND,Cars,0.06473090840478586
IND,Electronics,0.4067983929358358
IND,Energy,0.004725338693538706
IND,Food,0.25282173061251095
IND,Lumber,0.01693483768755137
IND,Steel,0.2539887916657773
IRL,Cars,0.20068955957082027
IRL,Electronics,0.4327036710212052
IRL,Energy,0.011630023940519022
IRL,Food,0.27808994553354455
IRL,Lumber,0.02113025712842076
IRL,Steel,0.0557565428054902
ISL,Cars,0.27432579961422315
ISL,Electronics,0.20486414982428328
ISL,Energy,0.003623829598796932
ISL,Food,0.297832813334594
ISL,Lumber,0.05792430402188924
ISL,Steel,0.1614291036062135
ISR,Cars,0.26142681683841745
ISR,Electronics,0.3159057239672811
ISR,Energy,0.0032714975144360384
ISR,Food,0.315085832085457
ISR,Lumber,0.008994243581268884
ISR,Steel,0.0953158860131394
ITA,Cars,0.20936872839963092
ITA,Electronics,0.13996227917450751
ITA,Energy,0.056819059496690756
ITA,Food,0.29382713796956095
ITA,Lumber,0.03508481484280926
ITA,Steel,0.26493798011680053
JOR,Cars,0.1552756287306594
JOR,Electronics,0.09750217213033126
JOR,Energy,0.0036048064261554173
JOR,Food,0.5148405932675898
JOR,Lumber,0.018297073563033724
JOR,Steel,0.21047972588223052
JPN,Cars,0.09598203701325231
JPN,Electronics,0.39831158865742283
JPN,Energy,0.0019904450602803102
JPN,Food,0.2957306499276766
JPN,Lumber,0.04528445222426412
JPN,Steel,0.16270082711710382
KAZ,Cars,0.062087880273991904
KAZ,Electronics,0.039069239532240924
KAZ,Energy,0.021269183305161657
KAZ,Food,0.5868491419091953
KAZ,Lumber,0.04822092916992506
KAZ,Steel,0.24250362580948506
KHM,Cars,0.1439370048686054
KHM,Electronics,0.06617244391235813
KHM,Energy,0.005938958454986406
KHM,Food,0.19685652730354578
KHM,Lumber,0.028146515720272686
KHM,Steel,0.5589485497402318
KOR,Cars,0.11127974504407133
KOR,Electronics,0.49044951966447964
KOR,Energy,0.0017191850130294946
KOR,Food,0.19096181101986062
KOR,Lumber,0.016629253291095658
KOR,Steel,0.18896048596746318
LAO,Cars,0.1997745386797599
LAO,Electronics,0.1577668575535746
LAO,Energy,0.009846584279380857
LAO,Food,0.2810918100003539
LAO,Lumber,0.021105403856555866
LAO,Steel,0.33041480563037484
LTU,Cars,0.12407936297749629
LTU,Electronics,0.10279554240092245
LTU,Energy,0.16777956620555012
LTU,Food,0.391705427053069
LTU,Lumber,0.0692527113937441
LTU,Steel,0.14438738996921813
LUX,Cars,0.3237546208106576
LUX,Electronics,0.11494650108930632
LUX,Energy,0.08965070468019054
LUX,Food,0.41617788691682944
LUX,Lumber,0.049234124174616756
LUX,Steel,0.006236162328399367
LVA,Cars,0.1517045867769375
LVA,Electronics,0.10875070422923679
LVA,Energy,0.1605060550286649
LVA,Food,0.36599669866914647
LVA,Lumber,0.08496797018089092
LVA,Steel,0.12807398511512344
MAR,Cars,0.2882612688907706
MAR,Electronics,0.11515877059956765
MAR,Energy,0.008112452386629694
MAR,Food,0.39770646296841455
MAR,Lumber,0.02745609676969658
MAR,Steel,0.16330494838492088
MEX,Cars,0.2551432749239126
MEX,Electronics,0.41495754591193684
MEX,Energy,0.001842090431482142
MEX,Food,0.16950019131066024
MEX,Lumber,0.013923946036159473
MEX,Steel,0.14463295138584867
MLT,Cars,0.14131582078343663
MLT,Electronics,0.24647625971054737
MLT,Energy,0.015114452656408442
MLT,Food,0.49238273937583976
MLT,Lumber,0.019704893231733474
MLT,Steel,0.08500583424203426
MMR,Cars,0.11451684623301174
MMR,Electronics,0.1524342545319875
MMR,Energy,0.0047129394840632515
MMR,Food,0.43766295441118486
MMR,Lumber,0.006092281103523683
MMR,Steel,0.28458072423622893
MYS,Cars,0.090727800777843
MYS,Electronics,0.42566127763622424
MYS,Energy,0.001268392367432192
MYS,Food,0.2759326691380189
